gamePk,officialDate,gameDate,gameType,status,away_team,away_team_id,home_team,home_team_id,away_score,home_score,venue,venue_id,seriesDescription,gameNumber,home_days_since_last,away_days_since_last,total_runs,home_run_margin,current_h2h_books,current_spreads_books,current_totals_books
744795,2024-09-25,2024-09-25T22:45:00Z,R,Final,Kansas City Royals,118,Washington Nationals,120,3.0,0.0,Nationals Park,3309,Regular Season,1,1.0,1.0,3.0,-3.0,,,
744796,2024-09-26,2024-09-26T17:05:00Z,R,Final,Kansas City Royals,118,Washington Nationals,120,7.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,11.0,-3.0,,,
744797,2024-09-27,2024-09-27T22:45:00Z,R,Final,Philadelphia Phillies,143,Washington Nationals,120,1.0,9.0,Nationals Park,3309,Regular Season,1,1.0,2.0,10.0,8.0,,,
744798,2024-09-29,2024-09-29T19:05:00Z,R,Final,Philadelphia Phillies,143,Washington Nationals,120,6.0,3.0,Nationals Park,3309,Regular Season,1,1.0,1.0,9.0,-3.0,,,
744799,2024-09-28,2024-09-28T20:05:00Z,R,Final,Philadelphia Phillies,143,Washington Nationals,120,3.0,6.0,Nationals Park,3309,Regular Season,1,1.0,1.0,9.0,3.0,,,
744800,2024-09-13,2024-09-13T22:45:00Z,R,Final,Miami Marlins,146,Washington Nationals,120,1.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,5.0,3.0,,,
744801,2024-09-15,2024-09-15T17:35:00Z,R,Final,Miami Marlins,146,Washington Nationals,120,3.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,1.0,,,
744802,2024-09-24,2024-09-24T22:45:00Z,R,Final,Kansas City Royals,118,Washington Nationals,120,1.0,0.0,Nationals Park,3309,Regular Season,1,2.0,2.0,1.0,-1.0,,,
744803,2024-09-14,2024-09-14T20:05:00Z,R,Final,Miami Marlins,146,Washington Nationals,120,1.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,5.0,3.0,,,
744804,2024-09-11,2024-09-11T22:45:00Z,R,Final,Atlanta Braves,144,Washington Nationals,120,1.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,6.0,4.0,6.0,6.0,6.0
744805,2024-09-12,2024-09-12T22:45:00Z,R,Final,Miami Marlins,146,Washington Nationals,120,6.0,3.0,Nationals Park,3309,Regular Season,1,1.0,1.0,9.0,-3.0,,,
744806,2024-09-01,2024-09-01T17:35:00Z,R,Final,Chicago Cubs,112,Washington Nationals,120,14.0,1.0,Nationals Park,3309,Regular Season,1,1.0,1.0,15.0,-13.0,,,
744807,2024-09-10,2024-09-10T22:45:00Z,R,Final,Atlanta Braves,144,Washington Nationals,120,12.0,0.0,Nationals Park,3309,Regular Season,1,2.0,1.0,12.0,-12.0,6.0,6.0,6.0
744808,2024-08-31,2024-08-31T20:05:00Z,R,Final,Chicago Cubs,112,Washington Nationals,120,5.0,3.0,Nationals Park,3309,Regular Season,1,1.0,1.0,8.0,-2.0,,,
744809,2024-08-28,2024-08-28T22:45:00Z,R,Final,New York Yankees,147,Washington Nationals,120,2.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,3.0,,,
744810,2024-08-30,2024-08-30T22:45:00Z,R,Final,Chicago Cubs,112,Washington Nationals,120,7.0,6.0,Nationals Park,3309,Regular Season,1,2.0,2.0,13.0,-1.0,,,
744811,2024-08-27,2024-08-27T22:45:00Z,R,Final,New York Yankees,147,Washington Nationals,120,2.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,6.0,2.0,,,
744812,2024-08-21,2024-08-21T22:45:00Z,R,Final,Colorado Rockies,115,Washington Nationals,120,1.0,6.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,5.0,,,
744813,2024-08-26,2024-08-26T22:45:00Z,R,Final,New York Yankees,147,Washington Nationals,120,5.0,2.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,-3.0,,,
744814,2024-08-20,2024-08-20T22:45:00Z,R,Final,Colorado Rockies,115,Washington Nationals,120,3.0,1.0,Nationals Park,3309,Regular Season,1,2.0,2.0,4.0,-2.0,,,
744815,2024-08-22,2024-08-22T17:05:00Z,R,Final,Colorado Rockies,115,Washington Nationals,120,3.0,8.0,Nationals Park,3309,Regular Season,1,1.0,1.0,11.0,5.0,,,
744816,2024-08-11,2024-08-11T15:35:00Z,R,Final,Los Angeles Angels,108,Washington Nationals,120,6.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,10.0,-2.0,,,
744817,2024-08-06,2024-08-06T22:45:00Z,R,Final,San Francisco Giants,137,Washington Nationals,120,5.0,11.0,Nationals Park,3309,Regular Season,1,1.0,1.0,16.0,6.0,,,
744818,2024-08-09,2024-08-09T22:45:00Z,R,Final,Los Angeles Angels,108,Washington Nationals,120,2.0,3.0,Nationals Park,3309,Regular Season,1,1.0,1.0,5.0,1.0,,,
744819,2024-08-08,2024-08-08T16:05:00Z,R,Final,San Francisco Giants,137,Washington Nationals,120,9.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,14.0,-4.0,,,
744820,2024-08-10,2024-08-10T22:45:00Z,R,Final,Los Angeles Angels,108,Washington Nationals,120,4.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,9.0,1.0,,,
744821,2024-08-05,2024-08-05T22:45:00Z,R,Final,San Francisco Giants,137,Washington Nationals,120,4.0,1.0,Nationals Park,3309,Regular Season,1,1.0,1.0,5.0,-3.0,,,
744822,2024-08-07,2024-08-07T22:45:00Z,R,Final,San Francisco Giants,137,Washington Nationals,120,7.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,11.0,-3.0,,,
744823,2024-08-03,2024-08-03T20:05:00Z,R,Final,Milwaukee Brewers,158,Washington Nationals,120,4.0,6.0,Nationals Park,3309,Regular Season,1,1.0,1.0,10.0,2.0,,,
744824,2024-07-24,2024-07-24T22:45:00Z,R,Final,San Diego Padres,135,Washington Nationals,120,12.0,3.0,Nationals Park,3309,Regular Season,1,1.0,1.0,15.0,-9.0,,,
744825,2024-08-02,2024-08-02T22:45:00Z,R,Final,Milwaukee Brewers,158,Washington Nationals,120,8.0,3.0,Nationals Park,3309,Regular Season,1,2.0,2.0,11.0,-5.0,,,
744826,2024-08-04,2024-08-04T17:35:00Z,R,Final,Milwaukee Brewers,158,Washington Nationals,120,3.0,4.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,1.0,,,
744827,2024-07-25,2024-07-25T16:05:00Z,R,Final,San Diego Padres,135,Washington Nationals,120,3.0,0.0,Nationals Park,3309,Regular Season,1,1.0,1.0,3.0,-3.0,,,
744828,2024-07-23,2024-07-23T22:45:00Z,R,Final,San Diego Padres,135,Washington Nationals,120,4.0,0.0,Nationals Park,3309,Regular Season,1,2.0,2.0,4.0,-4.0,,,
744829,2024-07-19,2024-07-19T22:45:00Z,R,Final,Cincinnati Reds,113,Washington Nationals,120,5.0,8.0,Nationals Park,3309,Regular Season,1,5.0,5.0,13.0,3.0,,,
744830,2024-07-20,2024-07-20T22:45:00Z,R,Final,Cincinnati Reds,113,Washington Nationals,120,4.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,9.0,1.0,,,
744831,2024-07-21,2024-07-21T17:35:00Z,R,Final,Cincinnati Reds,113,Washington Nationals,120,2.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,3.0,,,
744832,2024-07-07,2024-07-07T17:35:00Z,R,Final,St. Louis Cardinals,138,Washington Nationals,120,8.0,3.0,Nationals Park,3309,Regular Season,1,1.0,1.0,11.0,-5.0,,,
744833,2024-07-08,2024-07-08T20:05:00Z,R,Final,St. Louis Cardinals,138,Washington Nationals,120,6.0,0.0,Nationals Park,3309,Regular Season,1,1.0,1.0,6.0,-6.0,,,
744834,2024-07-04,2024-07-04T15:05:00Z,R,Final,New York Mets,121,Washington Nationals,120,0.0,1.0,Nationals Park,3309,Regular Season,1,1.0,1.0,1.0,1.0,,,
744835,2024-07-06,2024-07-06T20:05:00Z,R,Final,St. Louis Cardinals,138,Washington Nationals,120,6.0,14.0,Nationals Park,3309,Regular Season,1,1.0,1.0,20.0,8.0,,,
744836,2024-07-05,2024-07-05T22:45:00Z,R,Final,St. Louis Cardinals,138,Washington Nationals,120,7.0,6.0,Nationals Park,3309,Regular Season,1,1.0,1.0,13.0,-1.0,,,
744837,2024-07-03,2024-07-03T22:45:00Z,R,Final,New York Mets,121,Washington Nationals,120,5.0,7.0,Nationals Park,3309,Regular Season,1,1.0,1.0,12.0,2.0,,,
