away_team,home_team,game_start,core_market,core_side,books_reporting,prob_books_up,prob_books_down,prob_books_flat,prob_books_moving,prob_consensus_direction,prob_consensus_pct,prob_market_share_pct,avg_implied_prob_move,median_implied_prob_move,max_abs_implied_prob_move,line_books_up,line_books_down,line_books_flat,line_books_moving,line_consensus_pct,avg_point_move,median_point_move,consensus_strength,prob_direction_label
athletics,seattle mariners,2026-09-04 01:40:00+00:00,moneyline,athletics,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,weak,mixed_flat
athletics,seattle mariners,2026-09-04 01:40:00+00:00,moneyline,seattle mariners,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,weak,mixed_flat
athletics,seattle mariners,2026-09-04 01:40:00+00:00,spread,athletics,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
athletics,seattle mariners,2026-09-04 01:40:00+00:00,spread,seattle mariners,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
athletics,seattle mariners,2026-09-04 01:40:00+00:00,total,over,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
athletics,seattle mariners,2026-09-04 01:40:00+00:00,total,under,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
athletics,texas rangers,2026-09-02 18:35:00+00:00,moneyline,athletics,14.0,6.0,4.0,4.0,10.0,1.0,60.0,42.857142857142854,-0.018022714389915182,0.0,1.105379513633015,0.0,0.0,14.0,0.0,0.0,,,weak,toward_side
athletics,texas rangers,2026-09-02 18:35:00+00:00,moneyline,texas rangers,14.0,3.0,7.0,4.0,10.0,-1.0,70.0,50.0,0.05199398151516136,-0.0731186569565112,1.762502753910555,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
athletics,texas rangers,2026-09-02 18:35:00+00:00,spread,athletics,13.0,1.0,3.0,9.0,4.0,-1.0,75.0,23.076923076923077,-0.33607312669393735,0.0,2.490315439955726,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,away_from_side
athletics,texas rangers,2026-09-02 18:35:00+00:00,spread,texas rangers,13.0,3.0,1.0,9.0,4.0,1.0,75.0,23.076923076923077,0.3796164433290446,0.0,2.5531914893617005,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,toward_side
athletics,texas rangers,2026-09-02 18:35:00+00:00,total,over,13.0,9.0,2.0,2.0,11.0,1.0,81.81818181818183,69.23076923076923,0.6608612529616914,0.4950495049504955,4.545454545454541,2.0,3.0,8.0,5.0,60.0,-0.038461538461538464,0.0,strong,toward_side
athletics,texas rangers,2026-09-02 18:35:00+00:00,total,under,13.0,2.0,9.0,2.0,11.0,-1.0,81.81818181818183,69.23076923076923,-0.6048432419058023,-0.4247366632687654,4.545454545454541,2.0,3.0,8.0,5.0,60.0,-0.038461538461538464,0.0,strong,away_from_side
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,moneyline,atlanta braves,14.0,6.0,2.0,6.0,8.0,1.0,75.0,42.857142857142854,0.32351286129317686,0.0,2.264150943396226,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,moneyline,washington nationals,14.0,2.0,6.0,6.0,8.0,-1.0,75.0,42.857142857142854,-0.2989000093403396,0.0,1.811594202898548,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,spread,atlanta braves,13.0,11.0,2.0,0.0,13.0,1.0,84.61538461538461,84.61538461538461,0.5570685000483339,1.1614401858304313,4.95495495495496,0.0,1.0,12.0,1.0,100.0,-0.038461538461538464,0.0,strong,toward_side
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,spread,washington nationals,13.0,2.0,11.0,0.0,13.0,-1.0,84.61538461538461,84.61538461538461,-0.5634033647160058,-1.0101010101010166,4.751131221719462,1.0,0.0,12.0,1.0,100.0,0.038461538461538464,0.0,strong,away_from_side
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,total,over,13.0,10.0,1.0,2.0,11.0,1.0,90.9090909090909,76.92307692307693,0.819311603727006,1.107419712070867,9.827760891590689,1.0,1.0,11.0,2.0,50.0,0.038461538461538464,0.0,strong,toward_side
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,total,under,13.0,1.0,11.0,1.0,12.0,-1.0,91.66666666666666,84.61538461538461,-0.6084803620532746,-1.1841606669192872,10.010111223458036,1.0,1.0,11.0,2.0,50.0,0.038461538461538464,0.0,strong,away_from_side
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,moneyline,baltimore orioles,14.0,8.0,0.0,6.0,8.0,1.0,100.0,57.14285714285714,0.4472474007885808,0.453274210013338,1.156855089439357,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,moneyline,colorado rockies,14.0,0.0,8.0,6.0,8.0,-1.0,100.0,57.14285714285714,-0.437238039410421,-0.36377144540775397,1.4009281148761044,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,spread,baltimore orioles,13.0,6.0,3.0,4.0,9.0,1.0,66.66666666666666,46.15384615384615,0.2021572457625883,0.0,1.400560224089642,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,toward_side
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,spread,colorado rockies,13.0,3.0,7.0,3.0,10.0,-1.0,70.0,53.84615384615385,-0.23349168607363147,-0.2214545132429801,1.107419712070867,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,away_from_side
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,total,over,13.0,3.0,7.0,3.0,10.0,-1.0,70.0,53.84615384615385,-0.4093775789504245,-0.4170141784820669,4.95495495495496,1.0,1.0,11.0,2.0,50.0,0.0,0.0,medium,away_from_side
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,total,under,13.0,6.0,3.0,4.0,9.0,1.0,66.66666666666666,46.15384615384615,0.27374282392185373,0.0,4.95495495495496,1.0,1.0,11.0,2.0,50.0,0.0,0.0,medium,toward_side
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,moneyline,baltimore orioles,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,weak,mixed_flat
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,moneyline,boston red sox,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,weak,mixed_flat
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,spread,baltimore orioles,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,spread,boston red sox,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,total,over,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
boston red sox,baltimore orioles,2026-09-03 23:15:00+00:00,total,under,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,moneyline,chicago white sox,14.0,3.0,8.0,3.0,11.0,-1.0,72.72727272727273,57.14285714285714,-0.9002667583529582,-0.9735790544310424,2.2688598979013044,0.0,0.0,14.0,0.0,0.0,,,medium,away_from_side
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,moneyline,houston astros,14.0,8.0,3.0,3.0,11.0,1.0,72.72727272727273,57.14285714285714,0.7801923467303961,0.9377695118685359,1.9844849359552663,0.0,0.0,14.0,0.0,0.0,,,medium,toward_side
chicago white sox,houston astros,2026-09-03 00:10:00+00:00,spread,chicago white sox,13.0,1.0,7.0,5.0,8.0,-1.0,87.5,53.84615384615385,-0.8737114876010067,-1.2402177822425695,2.3809523809523725,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,away_from_side
