away_team,home_team,game_start,core_market,signal_target,signal_strength,books_reporting,books_moving,consensus_among_movers_pct,whole_market_share_pct,avg_implied_prob_move,market_signal_score,market_signal
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,total,under,strong,13.0,12.0,100.0,92.3076923076923,1.789628313417042,0.923076923076923,Total market moved toward UNDER
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,spread,san diego padres,strong,13.0,12.0,100.0,92.3076923076923,1.1541796215854754,0.923076923076923,Spread market moved toward san diego padres
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,moneyline,san diego padres,strong,14.0,12.0,100.0,85.71428571428571,0.7747526251204808,0.8571428571428571,Moneyline market moved toward san diego padres
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,spread,atlanta braves,strong,13.0,13.0,84.61538461538461,84.61538461538461,0.5570685000483339,0.7159763313609467,Spread market moved toward atlanta braves
atlanta braves,washington nationals,2026-09-02 17:05:00+00:00,total,over,strong,13.0,11.0,90.9090909090909,76.92307692307693,0.819311603727006,0.6993006993006994,Total market moved toward OVER
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,total,under,strong,13.0,10.0,90.0,69.23076923076923,2.1712975150564024,0.6230769230769231,Total market moved toward UNDER
athletics,texas rangers,2026-09-02 18:35:00+00:00,total,over,strong,13.0,11.0,81.81818181818183,69.23076923076923,0.6608612529616914,0.5664335664335665,Total market moved toward OVER
st. louis cardinals,los angeles dodgers,2026-09-03 02:10:00+00:00,spread,los angeles dodgers,strong,9.0,6.0,100.0,66.66666666666666,1.8375540967109028,0.6666666666666665,Spread market moved toward los angeles dodgers
st. louis cardinals,los angeles dodgers,2026-09-03 02:10:00+00:00,total,over,strong,9.0,6.0,100.0,66.66666666666666,1.0736155933632108,0.6666666666666665,Total market moved toward OVER
detroit tigers,minnesota twins,2026-09-02 23:40:00+00:00,spread,detroit tigers,strong,13.0,10.0,80.0,61.53846153846154,2.4659951091733685,0.49230769230769234,Spread market moved toward detroit tigers
baltimore orioles,colorado rockies,2026-09-02 19:10:00+00:00,moneyline,baltimore orioles,medium,14.0,8.0,100.0,57.14285714285714,0.4472474007885808,0.5714285714285714,Moneyline market moved toward baltimore orioles
