gamePk,home_team,gameDate,temperature_f,precipitation,wind_mph,wind_gust_mph,humidity_pct,weather_hour_utc
824470,Cincinnati Reds,2026-09-02T16:40:00Z,95.1,0.0,7.4,10.1,39,2026-09-02T17:00:00+00:00
822686,Washington Nationals,2026-09-02T17:05:00Z,92.3,0.0,2.5,6.7,52,2026-09-02T17:00:00+00:00
822851,Texas Rangers,2026-09-02T18:35:00Z,97.4,0.0,7.3,8.9,37,2026-09-02T19:00:00+00:00
824312,Colorado Rockies,2026-09-02T19:10:00Z,89.3,0.0,4.7,17.7,15,2026-09-02T19:00:00+00:00
825037,Arizona Diamondbacks,2026-09-02T19:40:00Z,101.0,0.0,6.8,13.2,28,2026-09-02T20:00:00+00:00
824717,Boston Red Sox,2026-09-02T20:10:00Z,72.5,0.0,11.2,15.7,57,2026-09-02T20:00:00+00:00
823339,Pittsburgh Pirates,2026-09-02T22:40:00Z,89.0,0.0,8.1,19.5,55,2026-09-02T23:00:00+00:00
822931,Tampa Bay Rays,2026-09-02T22:40:00Z,78.9,0.0,5.2,13.0,90,2026-09-02T23:00:00+00:00
824390,Cleveland Guardians,2026-09-02T22:40:00Z,90.2,0.0,9.3,21.9,50,2026-09-02T23:00:00+00:00
823660,Minnesota Twins,2026-09-02T23:40:00Z,84.4,0.0,4.1,5.8,44,2026-09-03T00:00:00+00:00
824068,Kansas City Royals,2026-09-02T23:40:00Z,97.6,0.0,8.9,15.4,28,2026-09-03T00:00:00+00:00
824634,Chicago Cubs,2026-09-02T23:40:00Z,79.4,0.0,3.4,5.8,81,2026-09-03T00:00:00+00:00
824147,Houston Astros,2026-09-03T00:10:00Z,83.9,0.0,12.2,25.5,63,2026-09-03T00:00:00+00:00
823983,Los Angeles Angels,2026-09-03T01:38:00Z,76.2,0.0,6.0,8.5,39,2026-09-03T02:00:00+00:00
823906,Los Angeles Dodgers,2026-09-03T02:10:00Z,71.6,0.0,6.1,9.2,56,2026-09-03T02:00:00+00:00
823337,Pittsburgh Pirates,2026-09-03T16:35:00Z,71.9,0.0,4.1,7.4,88,2026-09-03T17:00:00+00:00
824388,Cleveland Guardians,2026-09-03T17:10:00Z,80.5,0.0,6.7,15.2,74,2026-09-03T17:00:00+00:00
824144,Houston Astros,2026-09-03T18:10:00Z,83.2,0.0,3.1,3.6,85,2026-09-03T18:00:00+00:00
824796,Baltimore Orioles,2026-09-03T23:15:00Z,82.2,0.0,5.3,9.8,71,2026-09-03T23:00:00+00:00
824632,Chicago Cubs,2026-09-03T23:15:00Z,81.7,0.0,4.1,7.4,69,2026-09-03T23:00:00+00:00
824069,Kansas City Royals,2026-09-03T23:40:00Z,99.7,0.0,10.3,15.2,25,2026-09-03T23:00:00+00:00
822853,Texas Rangers,2026-09-04T00:05:00Z,86.3,0.0,14.7,21.5,67,2026-09-03T23:00:00+00:00
823095,Seattle Mariners,2026-09-04T01:40:00Z,64.1,0.0,6.5,12.3,59,2026-09-03T23:00:00+00:00
823907,Los Angeles Dodgers,2026-09-04T02:10:00Z,77.1,0.0,9.7,11.6,54,2026-09-03T23:00:00+00:00
