gamePk,game_date,side,team,batting_order,player_id,player,position
824911,2026-08-31,away,San Francisco Giants,1,806367,Turner Hill,LF
824911,2026-08-31,away,San Francisco Giants,2,646240,Rafael Devers,DH
824911,2026-08-31,away,San Francisco Giants,3,805811,Bryce Eldridge,1B
824911,2026-08-31,away,San Francisco Giants,4,813841,Jonah Cox,CF
824911,2026-08-31,away,San Francisco Giants,5,808982,Jung Hoo Lee,RF
824911,2026-08-31,away,San Francisco Giants,6,678545,Osleivis Basabe,2B
824911,2026-08-31,away,San Francisco Giants,7,668800,Andrew Knizner,C
824911,2026-08-31,away,San Francisco Giants,8,694376,Shay Whitcomb,3B
824911,2026-08-31,away,San Francisco Giants,9,683766,Christian Koss,SS
824911,2026-08-31,home,Atlanta Braves,1,686948,Drake Baldwin,DH
824911,2026-08-31,home,Atlanta Braves,2,660670,Ronald Acuña Jr.,RF
824911,2026-08-31,home,Atlanta Braves,3,621566,Matt Olson,1B
824911,2026-08-31,home,Atlanta Braves,4,643289,Mauricio Dubón,SS
824911,2026-08-31,home,Atlanta Braves,5,671739,Michael Harris II,CF
824911,2026-08-31,home,Atlanta Braves,6,645277,Ozzie Albies,2B
824911,2026-08-31,home,Atlanta Braves,7,669221,Sean Murphy,C
824911,2026-08-31,home,Atlanta Braves,8,663586,Austin Riley,3B
824911,2026-08-31,home,Atlanta Braves,9,573262,Mike Yastrzemski,LF
824473,2026-08-31,away,San Diego Padres,1,665487,Fernando Tatis Jr.,RF
824473,2026-08-31,away,San Diego Padres,2,630105,Jake Cronenworth,2B
824473,2026-08-31,away,San Diego Padres,3,592518,Manny Machado,3B
824473,2026-08-31,away,San Diego Padres,4,664034,Ty France,1B
824473,2026-08-31,away,San Diego Padres,5,701538,Jackson Merrill,CF
824473,2026-08-31,away,San Diego Padres,6,593428,Xander Bogaerts,DH
824473,2026-08-31,away,San Diego Padres,7,687957,Dustin Harris,LF
824473,2026-08-31,away,San Diego Padres,8,669134,Luis Campusano,C
824473,2026-08-31,away,San Diego Padres,9,823550,Sung-Mun Song,SS
824473,2026-08-31,home,Cincinnati Reds,1,699302,Héctor Rodríguez,RF
824473,2026-08-31,home,Cincinnati Reds,2,682829,Elly De La Cruz,DH
824473,2026-08-31,home,Cincinnati Reds,3,701398,Sal Stewart,1B
824473,2026-08-31,home,Cincinnati Reds,4,668709,JJ Bleday,LF
824473,2026-08-31,home,Cincinnati Reds,5,663886,Tyler Stephenson,C
824473,2026-08-31,home,Cincinnati Reds,6,553993,Eugenio Suárez,3B
824473,2026-08-31,home,Cincinnati Reds,7,680574,Matt McLain,SS
824473,2026-08-31,home,Cincinnati Reds,8,667472,Dane Myers,PH
824473,2026-08-31,home,Cincinnati Reds,9,695490,Edwin Arroyo,2B
822932,2026-08-31,away,New York Mets,1,596019,Francisco Lindor,SS
822932,2026-08-31,away,New York Mets,2,666182,Bo Bichette,3B
822932,2026-08-31,away,New York Mets,3,701807,Carson Benge,RF
822932,2026-08-31,away,New York Mets,4,668901,Mark Vientos,DH
822932,2026-08-31,away,New York Mets,5,676724,Jared Young,1B
822932,2026-08-31,away,New York Mets,6,665506,Cristian Pache,LF
822932,2026-08-31,away,New York Mets,7,543760,Marcus Semien,2B
822932,2026-08-31,away,New York Mets,8,805999,A.J. Ewing,CF
822932,2026-08-31,away,New York Mets,9,620443,Luis Torrens,C
822932,2026-08-31,home,Tampa Bay Rays,1,650490,Yandy Díaz,DH
822932,2026-08-31,home,Tampa Bay Rays,2,666018,Jonathan Aranda,1B
822932,2026-08-31,home,Tampa Bay Rays,3,691406,Junior Caminero,3B
822932,2026-08-31,home,Tampa Bay Rays,4,700652,Kenny Piper,C
822932,2026-08-31,home,Tampa Bay Rays,5,802415,Chandler Simpson,LF
822932,2026-08-31,home,Tampa Bay Rays,6,656775,Cedric Mullins,CF
822932,2026-08-31,home,Tampa Bay Rays,7,676356,Jonny DeLuca,RF
822932,2026-08-31,home,Tampa Bay Rays,8,680700,Richie Palacios,2B
822932,2026-08-31,home,Tampa Bay Rays,9,670764,Taylor Walls,SS
824719,2026-08-31,away,Seattle Mariners,1,668227,Randy Arozarena,LF
824719,2026-08-31,away,Seattle Mariners,2,801126,Brock Rodden,DH
824719,2026-08-31,away,Seattle Mariners,3,677594,Julio Rodríguez,CF
824719,2026-08-31,away,Seattle Mariners,4,663728,Cal Raleigh,C
824719,2026-08-31,away,Seattle Mariners,5,647304,Josh Naylor,1B
824719,2026-08-31,away,Seattle Mariners,6,645302,Victor Robles,RF
824719,2026-08-31,away,Seattle Mariners,7,702284,Cole Young,2B
824719,2026-08-31,away,Seattle Mariners,8,642215,Weston Wilson,3B
824719,2026-08-31,away,Seattle Mariners,9,641487,J.P. Crawford,SS
824719,2026-08-31,home,Boston Red Sox,1,701350,Roman Anthony,DH
824719,2026-08-31,home,Boston Red Sox,2,681508,Mickey Gasper,1B
824719,2026-08-31,home,Boston Red Sox,3,678882,Ceddanne Rafaela,CF
824719,2026-08-31,home,Boston Red Sox,4,642201,Eli White,PR
824719,2026-08-31,home,Boston Red Sox,5,686765,Nick Sogard,2B
824719,2026-08-31,home,Boston Red Sox,6,702332,Caleb Durbin,3B
824719,2026-08-31,home,Boston Red Sox,7,680776,Jarren Duran,LF
824719,2026-08-31,home,Boston Red Sox,8,596115,Trevor Story,SS
824719,2026-08-31,home,Boston Red Sox,9,657136,Connor Wong,C
822689,2026-08-31,away,Miami Marlins,1,681715,Heriberto Hernández,LF
822689,2026-08-31,away,Miami Marlins,2,672640,Otto Lopez,SS
822689,2026-08-31,away,Miami Marlins,3,665052,Griffin Conine,DH
822689,2026-08-31,away,Miami Marlins,4,691594,Javier Sanoja,2B
822689,2026-08-31,away,Miami Marlins,5,669065,Kyle Stowers,1B
822689,2026-08-31,away,Miami Marlins,6,677870,Leo Jiménez,3B
822689,2026-08-31,away,Miami Marlins,7,805300,Jakob Marsee,CF
822689,2026-08-31,away,Miami Marlins,8,665923,Esteury Ruiz,RF
822689,2026-08-31,away,Miami Marlins,9,640459,Brian Navarreto,C
822689,2026-08-31,home,Washington Nationals,1,695734,Daylen Lile,LF
822689,2026-08-31,home,Washington Nationals,2,694673,Abimelec Ortiz,DH
822689,2026-08-31,home,Washington Nationals,3,665953,Andrés Chaparro,1B
822689,2026-08-31,home,Washington Nationals,4,660688,Keibert Ruiz,C
822689,2026-08-31,home,Washington Nationals,5,691781,Brady House,3B
822689,2026-08-31,home,Washington Nationals,6,677588,José Tena,2B
822689,2026-08-31,home,Washington Nationals,7,696285,Jacob Young,CF
822689,2026-08-31,home,Washington Nationals,8,683083,Nasim Nuñez,SS
822689,2026-08-31,home,Washington Nationals,9,687605,Andrew Pinckney,RF
823663,2026-08-31,away,Detroit Tigers,1,701162,Ben Malgeri,RF
823663,2026-08-31,away,Detroit Tigers,2,690993,Colt Keith,3B
823663,2026-08-31,away,Detroit Tigers,3,807726,John Peck,SS
823663,2026-08-31,away,Detroit Tigers,4,693307,Dillon Dingler,C
823663,2026-08-31,away,Detroit Tigers,5,814430,Brett Callahan,LF
823663,2026-08-31,away,Detroit Tigers,6,656716,Zach McKinstry,P
823663,2026-08-31,away,Detroit Tigers,7,680664,Eduardo Valencia,1B
823663,2026-08-31,away,Detroit Tigers,8,703601,Max Clark,CF
823663,2026-08-31,away,Detroit Tigers,9,701678,Hao-Yu Lee,2B
823663,2026-08-31,home,Minnesota Twins,1,694224,Gabriel Gonzalez,RF
823663,2026-08-31,home,Minnesota Twins,2,686797,Brooks Lee,3B
823663,2026-08-31,home,Minnesota Twins,3,668952,Ryan Kreidler,2B
823663,2026-08-31,home,Minnesota Twins,4,656577,Alex Jackson,C
823663,2026-08-31,home,Minnesota Twins,5,605137,Josh Bell,DH
823663,2026-08-31,home,Minnesota Twins,6,663616,Trevor Larnach,LF
823663,2026-08-31,home,Minnesota Twins,7,668904,Royce Lewis,1B
823663,2026-08-31,home,Minnesota Twins,8,701785,Kaelen Culpepper,SS
823663,2026-08-31,home,Minnesota Twins,9,805805,Walker Jenkins,CF
824635,2026-08-31,away,Milwaukee Brewers,1,668930,Brice Turang,2B
824635,2026-08-31,away,Milwaukee Brewers,2,694192,Jackson Chourio,LF
824635,2026-08-31,away,Milwaukee Brewers,3,683734,Andrew Vaughn,P
824635,2026-08-31,away,Milwaukee Brewers,4,596142,Gary Sánchez,C
824635,2026-08-31,away,Milwaukee Brewers,5,687401,Joey Ortiz,1B
824635,2026-08-31,away,Milwaukee Brewers,6,800325,Luis Lara,CF
824635,2026-08-31,away,Milwaukee Brewers,7,686217,Sal Frelick,RF
824635,2026-08-31,away,Milwaukee Brewers,8,666152,David Hamilton,3B
824635,2026-08-31,away,Milwaukee Brewers,9,806198,Cooper Pratt,SS
824635,2026-08-31,home,Chicago Cubs,1,624424,Michael Conforto,LF
824635,2026-08-31,home,Chicago Cubs,2,673548,Seiya Suzuki,RF
824635,2026-08-31,home,Chicago Cubs,3,608324,Alex Bregman,3B
824635,2026-08-31,home,Chicago Cubs,4,621438,Tyrone Taylor,CF
824635,2026-08-31,home,Chicago Cubs,5,672356,Gabriel Arias,SS
824635,2026-08-31,home,Chicago Cubs,6,683737,Michael Busch,1B
824635,2026-08-31,home,Chicago Cubs,7,608348,Carson Kelly,C
824635,2026-08-31,home,Chicago Cubs,8,665804,Miguel Amaya,DH
824635,2026-08-31,home,Chicago Cubs,9,807713,Matt Shaw,2B
822855,2026-08-31,away,Athletics,1,703607,Henry Bolte,CF
822855,2026-08-31,away,Athletics,2,643446,Jeff McNeil,2B
822855,2026-08-31,away,Athletics,3,680869,Zack Gelof,3B
822855,2026-08-31,away,Athletics,4,671732,Lawrence Butler,RF
822855,2026-08-31,away,Athletics,5,695720,Tommy White,1B
822855,2026-08-31,away,Athletics,6,691777,Max Muncy,DH
822855,2026-08-31,away,Athletics,7,666126,Carlos Cortes,LF
