event_id,commence_time,away_team,home_team,bookmaker,bookmaker_title,book_last_update,market,market_last_update,outcome,price,point,snapshot_at
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,fanduel,FanDuel,2026-09-03T05:13:36Z,h2h,2026-09-03T05:13:36Z,Los Angeles Dodgers,1700,,2026-09-03T05:14:09.060983+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,fanduel,FanDuel,2026-09-03T05:13:36Z,h2h,2026-09-03T05:13:36Z,St. Louis Cardinals,-10000,,2026-09-03T05:14:09.061008+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,fanduel,FanDuel,2026-09-03T05:13:36Z,spreads,2026-09-03T05:13:36Z,Los Angeles Dodgers,1000,1.5,2026-09-03T05:14:09.061013+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,fanduel,FanDuel,2026-09-03T05:13:36Z,spreads,2026-09-03T05:13:36Z,St. Louis Cardinals,-4000,-1.5,2026-09-03T05:14:09.061017+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,fanduel,FanDuel,2026-09-03T05:13:36Z,totals,2026-09-03T05:13:36Z,Over,750,14.5,2026-09-03T05:14:09.061021+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,fanduel,FanDuel,2026-09-03T05:13:36Z,totals,2026-09-03T05:13:36Z,Under,-2000,14.5,2026-09-03T05:14:09.061024+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,bovada,Bovada,2026-09-03T05:12:40Z,h2h,2026-09-03T05:12:40Z,Los Angeles Dodgers,1400,,2026-09-03T05:14:09.061028+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,bovada,Bovada,2026-09-03T05:12:40Z,h2h,2026-09-03T05:12:40Z,St. Louis Cardinals,-5000,,2026-09-03T05:14:09.061032+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,bovada,Bovada,2026-09-03T05:12:40Z,spreads,2026-09-03T05:12:40Z,Los Angeles Dodgers,-250,2.5,2026-09-03T05:14:09.061036+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,bovada,Bovada,2026-09-03T05:12:40Z,spreads,2026-09-03T05:12:40Z,St. Louis Cardinals,185,-2.5,2026-09-03T05:14:09.061039+00:00
8cc27a7b0c6903978e605ba541bed625,2026-09-03T02:11:00Z,St. Louis Cardinals,Los Angeles Dodgers,bovada,Bovada,2026-09-03T05:12:40Z,totals,2026-09-03T05:12:40Z,Over,-260,13.5,2026-09-03T05:14:09.061043+00:00
