gamePk,game_date,side,team,pitcher_id,pitcher,role,inningsPitched,outs,pitches,battersFaced,hits,runs,earnedRuns,walks,strikeouts
824911,2026-08-31,away,San Francisco Giants,683627,Anthony Molina,starter,5.0,15,75.0,21.0,6.0,3.0,3.0,0,6.0
824911,2026-08-31,away,San Francisco Giants,671345,Jason Foley,reliever,1.1,4,22.0,6.0,2.0,0,0,0,1.0
824911,2026-08-31,away,San Francisco Giants,665665,Reiver Sanmartin,reliever,1.2,5,16.0,5.0,0,0,0,0,2.0
824911,2026-08-31,away,San Francisco Giants,681916,Dylan Smith,reliever,1.0,3,15.0,4.0,1.0,0,0,1.0,1.0
824911,2026-08-31,home,Atlanta Braves,693821,Bryce Elder,starter,5.1,16,84.0,27.0,8.0,5.0,5.0,3.0,3.0
824911,2026-08-31,home,Atlanta Braves,669276,Dylan Lee,reliever,0.1,1,14.0,3.0,2.0,1.0,1.0,0,0
824911,2026-08-31,home,Atlanta Braves,678061,Ray Kerr,reliever,3.1,10,34.0,11.0,1.0,1.0,1.0,0,4.0
824473,2026-08-31,away,San Diego Padres,650633,Michael King,starter,6.0,18,96.0,26.0,4.0,0,0,3.0,6.0
824473,2026-08-31,away,San Diego Padres,606996,Kyle Hart,reliever,2.0,6,29.0,7.0,0,0,0,1.0,4.0
824473,2026-08-31,away,San Diego Padres,593974,Wandy Peralta,reliever,1.0,3,20.0,4.0,1.0,0,0,0,1.0
824473,2026-08-31,home,Cincinnati Reds,663903,Brady Singer,starter,4.1,13,87.0,22.0,10.0,4.0,4.0,0,5.0
824473,2026-08-31,home,Cincinnati Reds,670062,Julian Garcia,reliever,1.2,5,21.0,5.0,0,0,0,0,3.0
824473,2026-08-31,home,Cincinnati Reds,572955,Pierce Johnson,reliever,1.0,3,19.0,6.0,3.0,1.0,1.0,0,0
824473,2026-08-31,home,Cincinnati Reds,663574,Tony Santillan,reliever,1.0,3,10.0,5.0,1.0,0,0,0,0
824473,2026-08-31,home,Cincinnati Reds,622088,Tejay Antone,reliever,1.0,3,15.0,5.0,1.0,0,0,0,2.0
822932,2026-08-31,away,New York Mets,476594,Robert Stock,starter,5.1,16,72.0,21.0,5.0,0,0,0,4.0
822932,2026-08-31,away,New York Mets,681320,Nate Lavender,reliever,0.2,2,9.0,2.0,1.0,0,0,0,0
822932,2026-08-31,away,New York Mets,673380,Dedniel Núñez,reliever,1.0,3,11.0,3.0,0,0,0,0,1.0
822932,2026-08-31,away,New York Mets,650960,Daniel Duarte,reliever,0.2,2,24.0,6.0,3.0,2.0,2.0,1.0,0
822932,2026-08-31,away,New York Mets,606965,Chris Devenski,reliever,0.1,1,5.0,1.0,0,0,0,0,0
822932,2026-08-31,away,New York Mets,673540,Kodai Senga,reliever,1.0,3,17.0,4.0,0,0,0,1.0,1.0
822932,2026-08-31,home,Tampa Bay Rays,693855,Ian Seymour,starter,6.1,19,88.0,24.0,6.0,3.0,3.0,0,10.0
822932,2026-08-31,home,Tampa Bay Rays,668984,Casey Legumina,reliever,0.2,2,15.0,4.0,2.0,0,0,0,0
822932,2026-08-31,home,Tampa Bay Rays,664076,Garrett Cleavinger,reliever,1.0,3,10.0,3.0,0,0,0,0,1.0
822932,2026-08-31,home,Tampa Bay Rays,571927,Steven Matz,reliever,1.0,3,22.0,5.0,2.0,0,0,0,1.0
824719,2026-08-31,away,Seattle Mariners,669923,George Kirby,starter,5.0,15,86.0,23.0,7.0,5.0,5.0,2.0,2.0
824719,2026-08-31,away,Seattle Mariners,622554,Seranthony Domínguez,reliever,1.0,3,8.0,3.0,0,0,0,0,0
824719,2026-08-31,away,Seattle Mariners,642100,Gabe Speier,reliever,1.1,4,15.0,5.0,0,0,0,1.0,1.0
824719,2026-08-31,away,Seattle Mariners,660825,Eduard Bazardo,reliever,0.1,1,13.0,4.0,3.0,2.0,2.0,0,0
