gamePk,officialDate,gameDate,gameType,status,abstractState,away_team,away_team_id,home_team,home_team_id,away_probable_pitcher,away_probable_pitcher_id,home_probable_pitcher,home_probable_pitcher_id,away_score,home_score,venue,venue_id,seriesDescription,doubleHeader,gameNumber
823337,2026-09-03,2026-09-03T16:35:00Z,R,Scheduled,Preview,San Francisco Giants,137,Pittsburgh Pirates,134,Blade Tidwell,694918,Lake Bachar,669199,,,PNC Park,31,Regular Season,N,1
824388,2026-09-03,2026-09-03T17:10:00Z,R,Scheduled,Preview,Toronto Blue Jays,141,Cleveland Guardians,114,José Soriano,667755,Tanner Bibee,676440,,,Progressive Field,5,Regular Season,N,1
824144,2026-09-03,2026-09-03T18:10:00Z,R,Scheduled,Preview,Chicago White Sox,145,Houston Astros,117,Luis Castillo,622491,Hunter Brown,686613,,,Daikin Park,2392,Regular Season,N,1
824796,2026-09-03,2026-09-03T23:15:00Z,R,Scheduled,Preview,Boston Red Sox,111,Baltimore Orioles,110,Jake Bennett,687562,Brandon Young,687064,,,Oriole Park at Camden Yards,2,Regular Season,N,1
824632,2026-09-03,2026-09-03T23:15:00Z,R,Scheduled,Preview,Milwaukee Brewers,158,Chicago Cubs,112,Logan Henderson,701656,Kevin Gausman,592332,,,Wrigley Field,17,Regular Season,N,1
824069,2026-09-03,2026-09-03T23:40:00Z,R,Scheduled,Preview,Miami Marlins,146,Kansas City Royals,118,Sandy Alcantara,645261,Michael Wacha,608379,,,Kauffman Stadium,7,Regular Season,N,1
822853,2026-09-03,2026-09-04T00:05:00Z,R,Scheduled,Preview,Tampa Bay Rays,139,Texas Rangers,140,Shane McClanahan,663556,Cal Quantrill,615698,,,Globe Life Field,5325,Regular Season,N,1
823095,2026-09-03,2026-09-04T01:40:00Z,R,Scheduled,Preview,Athletics,133,Seattle Mariners,136,Jack Perkins,678022,Kade Anderson,807739,,,T-Mobile Park,680,Regular Season,N,1
823907,2026-09-03,2026-09-04T02:10:00Z,R,Scheduled,Preview,St. Louis Cardinals,138,Los Angeles Dodgers,119,Quinn Mathews,687273,Tarik Skubal,669373,,,UNIQLO Field at Dodger Stadium,22,Regular Season,N,1
824424,2026-09-04,2026-09-04T18:10:00Z,R,Scheduled,Preview,Detroit Tigers,116,Cleveland Guardians,114,Keider Montero,672456,,,,,Progressive Field,5,Regular Season,S,1
824387,2026-09-04,2026-09-04T23:15:00Z,R,Scheduled,Preview,Detroit Tigers,116,Cleveland Guardians,114,Andrew Sears,808825,,,,,Progressive Field,5,Regular Season,S,2
824471,2026-09-04,2026-09-04T22:10:00Z,R,Scheduled,Preview,Milwaukee Brewers,158,Cincinnati Reds,113,,,Rhett Lowder,695076,,,Great American Ball Park,2602,Regular Season,N,1
823418,2026-09-04,2026-09-04T22:40:00Z,R,Scheduled,Preview,Atlanta Braves,144,Philadelphia Phillies,143,Chris Sale,519242,Cristopher Sánchez,650911,,,Citizens Bank Park,2681,Regular Season,N,1
823338,2026-09-04,2026-09-04T22:45:00Z,R,Scheduled,Preview,Los Angeles Angels,108,Pittsburgh Pirates,134,Ryan Johnson,696270,Jared Jones,683003,,,PNC Park,31,Regular Season,N,1
824797,2026-09-04,2026-09-04T23:05:00Z,R,Scheduled,Preview,Boston Red Sox,111,Baltimore Orioles,110,Ranger Suarez,624133,Shane Baz,669358,,,Oriole Park at Camden Yards,2,Regular Season,N,1
823579,2026-09-04,2026-09-04T23:10:00Z,R,Scheduled,Preview,San Francisco Giants,137,New York Mets,121,,,Nolan McLean,690997,,,Citi Field,3289,Regular Season,N,1
823824,2026-09-04,2026-09-04T23:10:00Z,R,Scheduled,Preview,Chicago Cubs,112,Miami Marlins,146,,,,,,,loanDepot park,4169,Regular Season,N,1
824554,2026-09-04,2026-09-04T23:40:00Z,R,Scheduled,Preview,Minnesota Twins,142,Chicago White Sox,145,Zebby Matthews,805673,,,,,Rate Field,4,Regular Season,N,1
822852,2026-09-04,2026-09-05T00:05:00Z,R,Scheduled,Preview,Tampa Bay Rays,139,Texas Rangers,140,Nick Martinez,607259,Kumar Rocker,677958,,,Globe Life Field,5325,Regular Season,N,1
824146,2026-09-04,2026-09-05T00:10:00Z,R,Scheduled,Preview,Arizona Diamondbacks,109,Houston Astros,117,Merrill Kelly,518876,,,,,Daikin Park,2392,Regular Season,N,1
824067,2026-09-04,2026-09-05T00:10:00Z,R,Scheduled,Preview,Toronto Blue Jays,141,Kansas City Royals,118,Jameson Taillon,592791,,,,,Kauffman Stadium,7,Regular Season,N,1
824311,2026-09-04,2026-09-05T00:40:00Z,R,Scheduled,Preview,St. Louis Cardinals,138,Colorado Rockies,115,,,Ryan Feltner,663372,,,Coors Field,19,Regular Season,N,1
823256,2026-09-04,2026-09-05T01:40:00Z,R,Scheduled,Preview,New York Yankees,147,San Diego Padres,135,Max Fried,608331,Walker Buehler,621111,,,Petco Park,2680,Regular Season,N,1
823905,2026-09-04,2026-09-05T02:10:00Z,R,Scheduled,Preview,Washington Nationals,120,Los Angeles Dodgers,119,Jackson Kent,800600,,,,,UNIQLO Field at Dodger Stadium,22,Regular Season,N,1
823093,2026-09-04,2026-09-05T02:10:00Z,R,Scheduled,Preview,Athletics,133,Seattle Mariners,136,,,Logan Gilbert,669302,,,T-Mobile Park,680,Regular Season,N,1
