season,samples,winner_accuracy,margin_mae,total_mae,avg_comp_distance
2016,506,0.6798418972332015,14.060488850516679,14.945917444705499,0.6126774977983958
2017,784,0.6798469387755102,14.622908794359825,15.0876436233672,0.44788442842063153
2018,819,0.7142857142857143,14.833420400562842,14.876007493774534,0.40754644658626227
2019,865,0.7364161849710983,14.321883722110476,14.198000048071853,0.4033398614902569
2020,563,0.69449378330373,14.091480107075746,14.749804592959089,0.4172412848798424
2021,874,0.7025171624713958,14.46810579453701,13.55257296757573,0.3417664400002104
2022,887,0.7158962795941376,14.042874537645284,14.214845364983795,0.32196792525033047
2023,902,0.7062084257206208,14.026248275592126,13.98907363810968,0.3060201985682426
2024,913,0.7174151150054765,13.984864949726358,13.37918681891121,0.31207519596180433
2025,931,0.7013963480128894,13.90699907917124,13.35338467749959,0.29147957239174416
2026,8,0.625,12.958227658751035,11.548276870976164,0.2262263380920952
ALL,8052,0.7065325384997516,14.235167122216733,14.15442783680116,0.3722248078711743
