year,throughSeasonType,throughWeek,team,conference,overall,offense,defense,offensePlays,defensePlays,modelVersion,source_year
2016,postseason,1,Alabama,SEC,35.38,7.78,-27.59,865,785,core-v1,2016
2016,postseason,1,Washington,Pac-12,25.93,12.3,-13.63,691,657,core-v1,2016
2016,postseason,1,Louisville,ACC,24.65,15.74,-8.92,757,705,core-v1,2016
2016,postseason,1,Clemson,ACC,23.44,8.49,-14.95,1013,858,core-v1,2016
2016,postseason,1,Ohio State,Big Ten,22.85,5.86,-16.99,780,715,core-v1,2016
2016,postseason,1,Florida State,ACC,22.16,14.24,-7.92,791,725,core-v1,2016
2016,postseason,1,LSU,SEC,21.91,5.48,-16.43,666,680,core-v1,2016
2016,postseason,1,Michigan,Big Ten,21.1,2.17,-18.94,745,638,core-v1,2016
2016,postseason,1,Oklahoma,Big 12,17.44,19.34,1.9,883,887,core-v1,2016
2016,postseason,1,Florida,SEC,14.87,-6.5,-21.37,791,732,core-v1,2016
2016,postseason,1,Miami,ACC,14.82,2.4,-12.42,788,830,core-v1,2016
2016,postseason,1,Western Kentucky,Conference USA,14.54,12.48,-2.06,677,670,core-v1,2016
2016,postseason,1,Wisconsin,Big Ten,14.25,3.0,-11.25,894,781,core-v1,2016
2016,postseason,1,USC,Pac-12,13.43,9.54,-3.89,858,758,core-v1,2016
2016,postseason,1,Toledo,Mid-American,13.35,14.55,1.2,725,685,core-v1,2016
2016,postseason,1,Western Michigan,Mid-American,12.64,13.93,1.29,794,671,core-v1,2016
2016,postseason,1,San Diego State,Mountain West,11.79,3.04,-8.76,774,757,core-v1,2016
2016,postseason,1,Virginia Tech,ACC,11.57,3.13,-8.44,861,802,core-v1,2016
2016,postseason,1,App State,Sun Belt,11.38,4.21,-7.18,769,674,core-v1,2016
2016,postseason,1,Penn State,Big Ten,11.14,5.57,-5.57,844,950,core-v1,2016
2016,postseason,1,Auburn,SEC,10.65,4.9,-5.75,765,768,core-v1,2016
2016,postseason,1,Colorado,Pac-12,10.57,-1.54,-12.11,827,765,core-v1,2016
2016,postseason,1,North Carolina,ACC,10.27,9.0,-1.28,732,783,core-v1,2016
2016,postseason,1,NC State,ACC,10.07,0.93,-9.15,810,783,core-v1,2016
2016,postseason,1,Tulsa,American Athletic,9.92,7.12,-2.81,917,803,core-v1,2016
2016,postseason,1,Pittsburgh,ACC,9.78,13.39,3.61,777,890,core-v1,2016
2016,postseason,1,Tennessee,SEC,9.56,10.82,1.25,808,866,core-v1,2016
2016,postseason,1,Houston,American Athletic,9.04,-0.04,-9.08,913,745,core-v1,2016
2016,postseason,1,Texas A&M,SEC,8.11,6.01,-2.1,802,913,core-v1,2016
2016,postseason,1,Boise State,Mountain West,7.64,7.06,-0.58,797,829,core-v1,2016
2016,postseason,1,Temple,American Athletic,7.2,1.86,-5.35,852,727,core-v1,2016
2016,postseason,1,West Virginia,Big 12,7.16,2.97,-4.18,833,806,core-v1,2016
2016,postseason,1,Baylor,Big 12,6.89,3.59,-3.3,932,875,core-v1,2016
2016,postseason,1,UCLA,Pac-12,6.84,-4.21,-11.05,821,913,core-v1,2016
2016,postseason,1,Oklahoma State,Big 12,6.78,7.63,0.85,853,877,core-v1,2016
2016,postseason,1,Air Force,Mountain West,6.76,1.96,-4.81,761,668,core-v1,2016
2016,postseason,1,BYU,FBS Independents,5.36,1.09,-4.27,774,719,core-v1,2016
2016,postseason,1,Kansas State,Big 12,5.06,2.67,-2.4,806,795,core-v1,2016
2016,postseason,1,Washington State,Pac-12,4.74,4.33,-0.41,862,720,core-v1,2016
2016,postseason,1,South Florida,American Athletic,4.59,11.15,6.56,706,824,core-v1,2016
2016,postseason,1,Northwestern,Big Ten,3.16,-1.16,-4.31,896,874,core-v1,2016
2016,postseason,1,Navy,American Athletic,3.03,13.35,10.32,787,848,core-v1,2016
2016,postseason,1,Stanford,Pac-12,2.95,-0.31,-3.26,742,786,core-v1,2016
2016,postseason,1,Notre Dame,FBS Independents,2.83,3.74,0.91,747,761,core-v1,2016
2016,postseason,1,Nebraska,Big Ten,2.78,-1.59,-4.37,865,765,core-v1,2016
2016,postseason,1,Georgia,SEC,2.73,-1.73,-4.45,815,705,core-v1,2016
2016,postseason,1,Georgia Tech,ACC,2.65,9.43,6.78,667,797,core-v1,2016
2016,postseason,1,TCU,Big 12,2.52,-2.31,-4.83,808,845,core-v1,2016
2016,postseason,1,Miami (OH),Mid-American,2.44,-0.86,-3.3,770,792,core-v1,2016
2016,postseason,1,Southern Miss,Conference USA,1.79,1.27,-0.53,879,677,core-v1,2016
2016,postseason,1,Iowa,Big Ten,1.69,-1.18,-2.86,645,657,core-v1,2016
2016,postseason,1,Texas,Big 12,1.69,-0.73,-2.41,974,929,core-v1,2016
2016,postseason,1,Minnesota,Big Ten,1.63,-5.74,-7.37,805,857,core-v1,2016
2016,postseason,1,Indiana,Big Ten,1.48,-3.52,-5.0,978,955,core-v1,2016
2016,postseason,1,Mississippi State,SEC,1.44,5.95,4.51,781,803,core-v1,2016
2016,postseason,1,Ole Miss,SEC,1.35,6.47,5.12,801,789,core-v1,2016
2016,postseason,1,Utah,Pac-12,1.19,-1.31,-2.5,884,821,core-v1,2016
2016,postseason,1,Colorado State,Mountain West,1.01,6.49,5.48,657,607,core-v1,2016
2016,postseason,1,Louisiana Tech,Conference USA,0.87,11.97,11.1,829,890,core-v1,2016
2016,postseason,1,Vanderbilt,SEC,0.8,-3.9,-4.7,800,817,core-v1,2016
2016,postseason,1,Middle Tennessee,Conference USA,0.63,8.49,7.86,766,920,core-v1,2016
2016,postseason,1,Northern Illinois,Mid-American,0.4,2.28,1.88,707,696,core-v1,2016
2016,postseason,1,Boston College,ACC,0.32,-13.96,-14.28,679,640,core-v1,2016
2016,postseason,1,UCF,American Athletic,0.03,-12.83,-12.86,726,783,core-v1,2016
2016,postseason,1,Memphis,American Athletic,-0.07,6.26,6.32,759,821,core-v1,2016
2016,postseason,1,Arkansas,SEC,-0.07,2.76,2.83,796,690,core-v1,2016
2016,postseason,1,Arkansas State,Sun Belt,-0.08,-9.55,-9.48,746,773,core-v1,2016
2016,postseason,1,Michigan State,Big Ten,-0.81,1.56,2.37,718,669,core-v1,2016
2016,postseason,1,Duke,ACC,-0.99,0.65,1.64,735,667,core-v1,2016
2016,postseason,1,Army,FBS Independents,-1.19,1.27,2.46,656,498,core-v1,2016
2016,postseason,1,Oregon State,Pac-12,-1.2,-3.5,-2.3,661,750,core-v1,2016
2016,postseason,1,New Mexico,Mountain West,-1.25,9.62,10.86,712,682,core-v1,2016
2016,postseason,1,Wyoming,Mountain West,-1.4,1.89,3.29,820,783,core-v1,2016
2016,postseason,1,South Carolina,SEC,-1.55,-7.26,-5.71,763,847,core-v1,2016
2016,postseason,1,Kentucky,SEC,-1.62,4.58,6.2,773,810,core-v1,2016
2016,postseason,1,Oregon,Pac-12,-2.35,10.43,12.78,729,787,core-v1,2016
2016,postseason,1,SMU,American Athletic,-2.49,-2.02,0.47,743,732,core-v1,2016
2016,postseason,1,Old Dominion,Conference USA,-2.54,1.49,4.03,678,710,core-v1,2016
2016,postseason,1,Ohio,Mid-American,-2.67,-7.72,-5.05,895,897,core-v1,2016
2016,postseason,1,Arizona,Pac-12,-2.77,3.58,6.36,504,582,core-v1,2016
2016,postseason,1,Central Michigan,Mid-American,-3.02,-2.57,0.46,741,759,core-v1,2016
2016,postseason,1,Troy,Sun Belt,-3.11,-6.83,-3.72,660,640,core-v1,2016
2016,postseason,1,Wake Forest,ACC,-3.51,-10.12,-6.62,796,856,core-v1,2016
2016,postseason,1,Missouri,SEC,-3.68,-1.58,2.1,783,834,core-v1,2016
2016,postseason,1,Texas Tech,Big 12,-3.8,10.48,14.29,871,780,core-v1,2016
2016,postseason,1,Maryland,Big Ten,-3.83,0.3,4.13,670,763,core-v1,2016
2016,postseason,1,North Texas,Conference USA,-4.21,-6.98,-2.78,671,766,core-v1,2016
2016,postseason,1,UTSA,Conference USA,-4.69,-4.23,0.46,738,739,core-v1,2016
2016,postseason,1,Eastern Michigan,Mid-American,-4.85,0.21,5.05,899,858,core-v1,2016
2016,postseason,1,California,Pac-12,-5.13,6.38,11.51,962,864,core-v1,2016
2016,postseason,1,Tulane,American Athletic,-5.16,-14.32,-9.16,704,686,core-v1,2016
2016,postseason,1,Utah State,Mountain West,-5.78,-5.55,0.23,682,771,core-v1,2016
2016,postseason,1,Ball State,Mid-American,-6.06,-1.79,4.27,807,780,core-v1,2016
2016,postseason,1,Iowa State,Big 12,-6.42,1.25,7.67,679,740,core-v1,2016
2016,postseason,1,Georgia State,Sun Belt,-7.0,-6.72,0.28,685,828,core-v1,2016
2016,postseason,1,Cincinnati,American Athletic,-7.04,-6.63,0.41,732,816,core-v1,2016
2016,postseason,1,Syracuse,ACC,-7.25,-1.55,5.71,794,732,core-v1,2016
2016,postseason,1,Illinois,Big Ten,-8.27,-6.53,1.74,583,726,core-v1,2016
2016,postseason,1,Idaho,Sun Belt,-8.32,-4.35,3.97,529,513,core-v1,2016
2016,postseason,1,Louisiana,Sun Belt,-8.44,-8.04,0.39,766,748,core-v1,2016
2016,postseason,1,East Carolina,American Athletic,-8.63,0.81,9.44,803,696,core-v1,2016
2016,postseason,1,Kent State,Mid-American,-9.26,-6.82,2.44,532,634,core-v1,2016
2016,postseason,1,Akron,Mid-American,-9.48,-5.03,4.45,653,777,core-v1,2016
2016,postseason,1,Buffalo,Mid-American,-9.71,-6.55,3.16,645,739,core-v1,2016
2016,postseason,1,Georgia Southern,Sun Belt,-9.75,-4.31,5.44,776,754,core-v1,2016
2016,postseason,1,UNLV,Mountain West,-10.51,-0.62,9.89,681,747,core-v1,2016
2016,postseason,1,Hawai'i,Mountain West,-10.67,-4.68,5.99,703,827,core-v1,2016
2016,postseason,1,Virginia,ACC,-11.94,-11.79,0.16,755,739,core-v1,2016
2016,postseason,1,Rutgers,Big Ten,-12.13,-11.48,0.65,540,579,core-v1,2016
2016,postseason,1,South Alabama,Sun Belt,-12.57,-3.35,9.22,631,682,core-v1,2016
2016,postseason,1,UConn,American Athletic,-12.61,-9.01,3.6,652,745,core-v1,2016
2016,postseason,1,Nevada,Mountain West,-12.84,-1.95,10.88,597,592,core-v1,2016
2016,postseason,1,Arizona State,Pac-12,-12.85,-7.55,5.3,772,783,core-v1,2016
2016,postseason,1,Massachusetts,FBS Independents,-14.23,-4.99,9.24,688,795,core-v1,2016
2016,postseason,1,Charlotte,Conference USA,-14.34,-12.05,2.29,677,685,core-v1,2016
2016,postseason,1,San José State,Mountain West,-14.54,-8.96,5.57,692,673,core-v1,2016
