game_id,season,week,gameday,game_type,away_team,home_team,away_score,home_score,result,total,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,total_line,roof,surface,temp,wind,stadium,referee,home_ats_margin,home_ats_result,ou_margin,ou_result,home_pre5_off_epa_per_play,home_preseason_off_epa_per_play,home_pre5_def_epa_per_play,home_preseason_def_epa_per_play,home_pre5_off_success_rate,home_preseason_off_success_rate,home_pre5_def_success_rate,home_preseason_def_success_rate,home_pre5_off_explosive_rate,home_preseason_off_explosive_rate,home_pre5_def_explosive_rate,home_preseason_def_explosive_rate,home_pre5_pass_rate,home_preseason_pass_rate,home_pre5_sack_rate,home_preseason_sack_rate,home_pre5_turnover_rate,home_preseason_turnover_rate,home_pre5_plays_per_game,home_preseason_plays_per_game,away_pre5_off_epa_per_play,away_preseason_off_epa_per_play,away_pre5_def_epa_per_play,away_preseason_def_epa_per_play,away_pre5_off_success_rate,away_preseason_off_success_rate,away_pre5_def_success_rate,away_preseason_def_success_rate,away_pre5_off_explosive_rate,away_preseason_off_explosive_rate,away_pre5_def_explosive_rate,away_preseason_def_explosive_rate,away_pre5_pass_rate,away_preseason_pass_rate,away_pre5_sack_rate,away_preseason_sack_rate,away_pre5_turnover_rate,away_preseason_turnover_rate,away_pre5_plays_per_game,away_preseason_plays_per_game
2016_01_CAR_DEN,2016,1,2016-09-08,REG,CAR,DEN,20.0,21.0,1.0,41.0,7,7,-150.0,136.0,-3.0,40.5,outdoors,grass,85.0,10.0,Sports Authority Field at Mile High,Gene Steratore,4.0,COVER,0.5,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_TB_ATL,2016,1,2016-09-11,REG,TB,ATL,31.0,24.0,-7.0,55.0,7,7,120.0,-133.0,2.5,46.5,dome,fieldturf,,,Georgia Dome,Jeff Triplette,-9.5,NO_COVER,8.5,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_BUF_BAL,2016,1,2016-09-11,REG,BUF,BAL,7.0,13.0,6.0,20.0,7,7,151.0,-167.0,3.0,44.5,outdoors,grass,84.0,8.0,M&T Bank Stadium,Brad Allen,3.0,COVER,-24.5,UNDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_CHI_HOU,2016,1,2016-09-11,REG,CHI,HOU,14.0,23.0,9.0,37.0,7,7,210.0,-235.0,5.5,43.0,closed,fieldturf,,,NRG Stadium,Peter Morelli,3.5,COVER,-6.0,UNDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_GB_JAX,2016,1,2016-09-11,REG,GB,JAX,27.0,23.0,-4.0,50.0,7,7,-179.0,161.0,-3.5,47.0,outdoors,grass,90.0,3.0,EverBank Field,Carl Cheffers,-0.5,NO_COVER,3.0,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_SD_KC,2016,1,2016-09-11,REG,SD,KC,27.0,33.0,6.0,60.0,7,7,244.0,-275.0,6.5,45.5,outdoors,grass,74.0,9.0,Arrowhead Stadium,Jerome Boger,-0.5,NO_COVER,14.5,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_OAK_NO,2016,1,2016-09-11,REG,OAK,NO,35.0,34.0,-1.0,69.0,7,7,133.0,-147.0,2.5,50.0,dome,sportturf,,,Mercedes-Benz Superdome,John Parry,-3.5,NO_COVER,19.0,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_CIN_NYJ,2016,1,2016-09-11,REG,CIN,NYJ,23.0,22.0,-1.0,45.0,7,7,106.0,-117.0,1.0,42.0,outdoors,fieldturf,79.0,17.0,MetLife Stadium,Clete Blakeman,-2.0,NO_COVER,3.0,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_CLE_PHI,2016,1,2016-09-11,REG,CLE,PHI,10.0,29.0,19.0,39.0,7,7,162.0,-180.0,3.5,41.0,outdoors,grass,85.0,14.0,Lincoln Financial Field,Walt Anderson,15.5,COVER,-2.0,UNDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016_01_MIN_TEN,2016,1,2016-09-11,REG,MIN,TEN,25.0,16.0,-9.0,41.0,7,7,-127.0,115.0,-2.5,40.0,outdoors,grass,76.0,5.0,Nissan Stadium,Walt Coleman,-6.5,NO_COVER,1.0,OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
