player,team,position,fantasypros_adp,fantasypros_ecr,fantasypros_tier,collected_at
Josh Allen,BUF,QB,,1,1,2026-09-03T09:07:07.856342+00:00
Jahmyr Gibbs,DET,RB,,1,1,2026-09-03T09:07:07.899254+00:00
Ja'Marr Chase,CIN,WR,,1,1,2026-09-03T09:07:07.997212+00:00
Trey McBride,ARI,TE,,1,1,2026-09-03T09:07:08.093981+00:00
Lamar Jackson,BAL,QB,,2,1,2026-09-03T09:07:07.856361+00:00
Bijan Robinson,ATL,RB,,2,1,2026-09-03T09:07:07.899267+00:00
Puka Nacua,LAR,WR,,2,1,2026-09-03T09:07:07.997227+00:00
Brock Bowers,LV,TE,,2,1,2026-09-03T09:07:08.093996+00:00
Drake Maye,NE,QB,,3,1,2026-09-03T09:07:07.856365+00:00
Christian McCaffrey,SF,RB,,3,1,2026-09-03T09:07:07.899270+00:00
Jaxon Smith-Njigba,SEA,WR,,3,1,2026-09-03T09:07:07.997231+00:00
Colston Loveland,CHI,TE,,3,1,2026-09-03T09:07:08.094000+00:00
Joe Burrow,CIN,QB,,4,2,2026-09-03T09:07:07.856368+00:00
Jonathan Taylor,IND,RB,,4,2,2026-09-03T09:07:07.899273+00:00
Amon-Ra St. Brown,DET,WR,,4,1,2026-09-03T09:07:07.997234+00:00
Tyler Warren,IND,TE,,4,1,2026-09-03T09:07:08.094003+00:00
Jalen Hurts,PHI,QB,,5,2,2026-09-03T09:07:07.856371+00:00
James Cook III,BUF,RB,,5,2,2026-09-03T09:07:07.899276+00:00
CeeDee Lamb,DAL,WR,,5,2,2026-09-03T09:07:07.997236+00:00
Harold Fannin Jr.,CLE,TE,,5,2,2026-09-03T09:07:08.094006+00:00
Jayden Daniels,WAS,QB,,6,2,2026-09-03T09:07:07.856374+00:00
Chase Brown,CIN,RB,,6,2,2026-09-03T09:07:07.899278+00:00
Justin Jefferson,MIN,WR,,6,2,2026-09-03T09:07:07.997239+00:00
Tucker Kraft,GB,TE,,6,2,2026-09-03T09:07:08.094009+00:00
Caleb Williams,CHI,QB,,7,2,2026-09-03T09:07:07.856376+00:00
De'Von Achane,MIA,RB,,7,2,2026-09-03T09:07:07.899281+00:00
Drake London,ATL,WR,,7,2,2026-09-03T09:07:07.997242+00:00
Kyle Pitts Sr.,ATL,TE,,7,2,2026-09-03T09:07:08.094012+00:00
Justin Herbert,LAC,QB,,8,2,2026-09-03T09:07:07.856379+00:00
Saquon Barkley,PHI,RB,,8,2,2026-09-03T09:07:07.899284+00:00
A.J. Brown,NE,WR,,8,2,2026-09-03T09:07:07.997245+00:00
Sam LaPorta,DET,TE,,8,2,2026-09-03T09:07:08.094014+00:00
Trevor Lawrence,JAC,QB,,9,2,2026-09-03T09:07:07.856381+00:00
Omarion Hampton,LAC,RB,,9,2,2026-09-03T09:07:07.899286+00:00
Nico Collins,HOU,WR,,9,2,2026-09-03T09:07:07.997248+00:00
Travis Kelce,KC,TE,,9,3,2026-09-03T09:07:08.094017+00:00
Dak Prescott,DAL,QB,,10,2,2026-09-03T09:07:07.856386+00:00
Kenneth Walker III,KC,RB,,10,2,2026-09-03T09:07:07.899290+00:00
Chris Olave,NO,WR,,10,2,2026-09-03T09:07:07.997250+00:00
George Kittle,SF,TE,,10,3,2026-09-03T09:07:08.094020+00:00
