overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,_name_key,_position,_team,hulk_rank,sleeper_match,sleeper_source_player,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_match,espn_source_player,espn_adp,espn_ppr_room_rank,yahoo_match,yahoo_source_player,yahoo_adp,cbs_match,cbs_source_player,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,hulk_value_vs_consensus,hulk_value_vs_espn_room,best_value_platform,best_platform_value
1,1,1,Jaxon Smith-Njigba,WR,SEA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6",230.71782895662372,249.17525527315365,,,0.0,0.0,0.0,0.0,322.0,236.0,3563.0,20.0,52.01222170619559,jaxon smith njigba,WR,SEA,1,exact_name_pos,Jaxon Smith-Njigba,6.5,8.4,9.2,exact_name_pos,Jaxon Smith-Njigba,6.25,6.0,exact_name_pos,Jaxon Smith-Njigba,7.2,name_inside_cbs,J. Smith-Njigba  WR  SEA  Jaxon Smith-Njigba  WR  SEA,6.46,6.0,4,6.6025,6.48,6.25,7.2,0.9500000000000002,5.6025,5.0,Yahoo,6.2
2,2,1,Amon-Ra St. Brown,WR,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",228.19998194334485,246.4559804988125,,,0.0,0.0,0.0,0.0,343.0,234.0,2802.0,22.0,41.71144817826275,amon ra st brown,WR,DET,2,exact_name_pos,Amon-Ra St. Brown,8.7,7.0,16.8,exact_name_pos,Amon-Ra St. Brown,8.36,8.0,exact_name_pos,Amon-Ra St. Brown,7.9,name_inside_cbs,A. St. Brown  WR  DET  Amon-Ra St. Brown  WR  DET,8.4,8.0,4,8.34,8.379999999999999,7.9,8.7,0.7999999999999989,6.34,6.0,Sleeper,6.699999999999999
3,3,1,Puka Nacua,WR,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba",225.8811126978876,243.95160171371865,,,0.0,0.0,0.0,0.0,329.0,256.0,3402.0,20.0,31.463255797130337,puka nacua,WR,LA,3,exact_name_pos,Puka Nacua,4.3,6.9,8.9,exact_name_pos,Puka Nacua,5.28,4.0,exact_name_pos,Puka Nacua,4.9,name_inside_cbs,P. Nacua  WR  LAR  Groin: Questionable for Week 1 vs. San Francisco  Puka Nacua  WR  LAR  Groin: Questionable for Week 1 vs. San Francisco,5.23,4.0,4,4.9275,5.065,4.3,5.28,0.9800000000000004,1.9275000000000002,1.0,ESPN,2.2800000000000002
4,4,1,Ja'Marr Chase,WR,CIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",216.3192873450502,233.62483033265423,,,0.0,0.0,0.0,0.0,370.0,250.0,2824.0,16.0,36.86566749448192,ja marr chase,WR,CIN,4,exact_name_pos,Ja'Marr Chase,3.7,3.5,6.6,exact_name_pos,Ja'Marr Chase,4.28,3.0,exact_name_pos,Ja'Marr Chase,3.5,name_inside_cbs,J. Chase  WR  CIN  Knee: Questionable for Week 1 vs. Tampa Bay  Ja'Marr Chase  WR  CIN  Knee: Questionable for Week 1 vs. Tampa Bay,4.08,3.0,4,3.89,3.89,3.5,4.28,0.7800000000000002,-0.10999999999999988,-1.0,ESPN,0.28000000000000025
5,1,1,Matthew Stafford,QB,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",260.5,229.24,,,9414.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matthew stafford,QB,LA,5,exact_name_pos,Matthew Stafford,95.4,106.9,117.6,exact_name_pos,Matthew Stafford,92.7,140.0,exact_name_pos,Matthew Stafford,99.7,name_inside_cbs,M. Stafford  QB  LAR  Matthew Stafford  QB  LAR,95.24,91.0,4,95.76,95.32,92.7,99.7,7.0,90.76,135.0,Yahoo,94.7
6,5,1,Chris Olave,WR,NO,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/onmxufsprtvglhejg94o",199.4644221288228,215.42157589912864,,,0.0,0.0,0.0,0.0,308.0,197.0,2269.0,18.0,42.783649105652415,chris olave,WR,NO,6,exact_name_pos,Chris Olave,30.1,30.9,31.2,exact_name_pos,Chris Olave,29.45,24.0,exact_name_pos,Chris Olave,31.5,name_inside_cbs,C. Olave  WR  NO  Chris Olave  WR  NO,28.08,28.0,4,29.7825,29.775,28.08,31.5,3.4200000000000017,23.7825,18.0,Yahoo,25.5
7,1,1,Trey McBride,TE,ARI,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/psasp10nn5pcvkli9kil",226.39927084891903,212.8153145979839,,,0.0,0.0,0.0,0.0,338.0,252.0,2478.0,22.0,25.99635424459538,trey mcbride,TE,ARI,7,exact_name_pos,Trey McBride,24.8,26.5,21.7,exact_name_pos,Trey McBride,22.78,21.0,exact_name_pos,Trey McBride,26.9,name_inside_cbs,T. McBride  TE  ARI  Trey McBride  TE  ARI,27.62,27.0,4,25.525,25.85,22.78,27.62,4.84,18.525,14.0,CBS,20.62
8,6,1,Davante Adams,WR,LA,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tdzluk4xau3arxqk9zsl",188.6346880657054,203.72546311096184,,,0.0,0.0,0.0,0.0,228.0,120.0,1578.0,28.0,36.78882494391156,davante adams,WR,LA,8,exact_name_pos,Davante Adams,50.3,55.8,45.6,exact_name_pos,Davante Adams,46.17,45.0,exact_name_pos,Davante Adams,56.4,name_inside_cbs,D. Adams  WR  LAR  Rams' Davante Adams: Logs no preseason action  Davante Adams  WR  LAR  Rams' Davante Adams: Logs no preseason action,56.33,54.0,4,52.3,53.315,46.17,56.4,10.229999999999997,44.3,37.0,Yahoo,48.4
9,7,1,George Pickens,WR,DAL,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cbpyykoguf7rsxezqzvk",182.34245831423036,196.9298549793688,,,0.0,0.0,0.0,0.0,263.0,180.0,2762.0,17.0,35.500753109613115,george pickens,WR,DAL,9,exact_name_pos,George Pickens,22.0,25.6,28.6,exact_name_pos,George Pickens,28.36,27.0,exact_name_pos,George Pickens,22.5,name_inside_cbs,G. Pickens  WR  DAL  George Pickens  WR  DAL,22.11,22.0,4,23.7425,22.305,22.0,28.36,6.359999999999999,14.7425,18.0,ESPN,19.36
10,1,1,Jonathan Taylor,RB,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8",178.28571428571428,192.54857142857145,,,0.0,0.0,3170.0,36.0,0.0,0.0,0.0,0.0,0.0,jonathan taylor,RB,IND,10,exact_name_pos,Jonathan Taylor,7.2,5.4,3.8,exact_name_pos,Jonathan Taylor,6.23,5.0,exact_name_pos,Jonathan Taylor,6.3,name_inside_cbs,J. Taylor  RB  IND  Jonathan Taylor  RB  IND,5.32,5.0,4,6.2625,6.265000000000001,5.32,7.2,1.88,-3.7375,-5.0,Sleeper,-2.8
11,2,1,Jared Goff,QB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kaicbot8qhzrvddilbtp",206.11111111111117,181.3777777777778,,,9128.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jared goff,QB,DET,11,exact_name_pos,Jared Goff,132.4,143.5,132.9,exact_name_pos,Jared Goff,136.45,164.0,exact_name_pos,Jared Goff,113.8,name_inside_cbs,J. Goff  QB  DET  Jared Goff  QB  DET,109.22,108.0,4,122.9675,123.1,109.22,136.45,27.22999999999999,111.9675,153.0,ESPN,125.44999999999999
12,2,1,Derrick Henry,RB,BAL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tm79x0iknqg6hms3ypyt",165.97142857142856,179.24914285714286,,,0.0,0.0,3148.0,32.0,0.0,0.0,0.0,0.0,0.0,derrick henry,RB,BAL,12,exact_name_pos,Derrick Henry,19.0,15.2,7.4,exact_name_pos,Derrick Henry,16.64,16.0,exact_name_pos,Derrick Henry,17.2,name_inside_cbs,D. Henry  RB  BAL  Derrick Henry  RB  BAL,13.82,12.0,4,16.665,16.92,13.82,19.0,5.18,4.664999999999999,4.0,Sleeper,7.0
