overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,sleeper_player_id,sleeper_name,sleeper_team,proj_ppr_points,proj_games,proj_pass_yd,proj_pass_td,proj_pass_int,proj_rush_att,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,role_adjustment,replacement_points,vorp,scarcity_multiplier,hulk_v2_score,hulk_v2_position_rank,hulk_v2_rank,hulk_v2_tier
33,4,1,Jahmyr Gibbs,RB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj",81.47142857142858,87.98914285714287,,,0.0,0.0,1223.0,13.0,0.0,0.0,0.0,0.0,0.0,9221,Jahmyr Gibbs,DET,331.4,18.0,,,,255.0,1251.0,12.0,63.0,533.0,3.0,6.0,160.1,171.29999999999998,1.08,191.004,1,1,1
79,10,2,Bijan Robinson,RB,ATL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esii5yb8yn9edboi4mlq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esii5yb8yn9edboi4mlq",67.11428571428571,72.48342857142858,,,0.0,0.0,1478.0,7.0,0.0,0.0,0.0,0.0,0.0,9509,Bijan Robinson,ATL,324.9,18.0,,,,280.0,1372.0,9.0,64.0,537.0,3.0,6.0,160.1,164.79999999999998,1.08,183.98399999999998,2,2,1
58,7,1,Christian McCaffrey,RB,SF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck",72.17142857142858,77.94514285714287,,,0.0,0.0,1202.0,10.0,0.0,0.0,0.0,0.0,0.0,4034,Christian McCaffrey,SF,291.0,18.0,,,,240.0,984.0,7.0,70.0,606.0,4.0,6.0,160.1,130.9,1.08,147.372,3,3,1
3,3,1,Puka Nacua,WR,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba",128.46389788773527,138.7410097187541,,,0.0,0.0,0.0,0.0,166.0,129.0,1715.0,10.0,27.896412515599398,9493,Puka Nacua,LAR,312.5,18.0,,,,10.0,55.0,,107.0,1400.0,10.0,6.0,177.3,135.2,1.0,141.2,1,4,1
4,4,1,Ja'Marr Chase,WR,CIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",123.79021736697092,133.6934347563286,,,0.0,0.0,0.0,0.0,185.0,125.0,1412.0,8.0,34.08570221946999,7564,Ja'Marr Chase,CIN,311.1,18.0,,,,3.0,16.0,,109.0,1345.0,11.0,6.0,177.3,133.8,1.0,139.8,2,5,1
10,1,1,Jonathan Taylor,RB,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8",101.64285714285714,109.77428571428572,,,0.0,0.0,1585.0,18.0,0.0,0.0,0.0,0.0,0.0,6813,Jonathan Taylor,IND,272.3,18.0,,,,287.0,1385.0,11.0,36.0,278.0,1.0,6.0,160.1,112.20000000000002,1.08,127.17600000000003,4,6,1
31,3,1,James Cook,RB,BUF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",84.15714285714286,90.88971428571428,,,0.0,0.0,1621.0,12.0,0.0,0.0,0.0,0.0,0.0,8138,James Cook,BUF,260.8,18.0,,,,264.0,1270.0,11.0,31.0,268.0,2.0,6.0,160.1,100.70000000000002,1.08,114.75600000000003,5,7,1
1,1,1,Jaxon Smith-Njigba,WR,SEA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6",133.04680623889763,143.69055073800945,,,0.0,0.0,0.0,0.0,163.0,119.0,1793.0,10.0,48.56095427141123,9488,Jaxon Smith-Njigba,SEA,284.6,18.0,,,,6.0,33.0,,99.0,1343.0,8.0,6.0,177.3,107.30000000000001,1.0,113.30000000000001,3,8,1
74,8,1,De'Von Achane,RB,MIA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",68.28571428571428,73.74857142857142,,,0.0,0.0,1350.0,8.0,0.0,0.0,0.0,0.0,0.0,9226,De'Von Achane,MIA,257.4,18.0,,,,239.0,1168.0,6.0,55.0,416.0,2.0,6.0,160.1,97.29999999999998,1.08,111.08399999999999,6,9,2
2,2,1,Amon-Ra St. Brown,WR,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",130.23531839738672,140.65414386917766,,,0.0,0.0,0.0,0.0,172.0,117.0,1401.0,11.0,38.40736121770274,7547,Amon-Ra St. Brown,DET,280.5,18.0,,,,3.0,16.0,,106.0,1249.0,8.0,6.0,177.3,103.19999999999999,1.0,109.19999999999999,4,10,1
