overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,sleeper_player_id,sleeper_name,sleeper_team,proj_ppr_points,proj_games,proj_pass_yd,proj_pass_td,proj_pass_int,proj_rush_att,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,role_adjustment,replacement_points,vorp,scarcity_multiplier,hulk_v2_score,hulk_v2_position_rank,hulk_v2_rank,hulk_v2_tier,_key,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_adp,espn_ppr_room_rank,yahoo_adp,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,roster_team,current_team,team_conflict,hulk_value_vs_consensus,hulk_value_vs_espn_room,hulk_value_vs_sleeper,hulk_value_vs_yahoo,hulk_value_vs_cbs,best_value_platform,best_platform_value,draft_action
33,4,1,Jahmyr Gibbs,RB,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj",81.47142857142858,87.98914285714287,,,0.0,0.0,1223.0,13.0,0.0,0.0,0.0,0.0,0.0,9221.0,Jahmyr Gibbs,DET,331.4,18.0,,,,255.0,1251.0,12.0,63.0,533.0,3.0,6.0,160.1,171.29999999999998,1.08,191.004,1,1,1,jahmyr gibbs,1.2,1.5,2.7,1.33,1.0,1.3,1.12,1.0,4,1.2375,1.25,1.12,1.33,0.2099999999999999,DET,DET,False,0.23750000000000004,0.0,0.19999999999999996,0.30000000000000004,0.1200000000000001,Yahoo,0.30000000000000004,FAIR VALUE
79,10,2,Bijan Robinson,RB,ATL,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esii5yb8yn9edboi4mlq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esii5yb8yn9edboi4mlq",67.11428571428571,72.48342857142858,,,0.0,0.0,1478.0,7.0,0.0,0.0,0.0,0.0,0.0,9509.0,Bijan Robinson,ATL,324.9,18.0,,,,280.0,1372.0,9.0,64.0,537.0,3.0,6.0,160.1,164.79999999999998,1.08,183.984,2,2,1,bijan robinson,2.2,2.2,1.2,2.38,2.0,2.0,2.06,2.0,4,2.16,2.13,2.0,2.38,0.3799999999999999,ATL,ATL,False,0.16000000000000014,0.0,0.20000000000000018,0.0,0.06000000000000005,Sleeper,0.20000000000000018,FAIR VALUE
58,7,1,Christian McCaffrey,RB,SF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck",72.17142857142858,77.94514285714287,,,0.0,0.0,1202.0,10.0,0.0,0.0,0.0,0.0,0.0,4034.0,Christian McCaffrey,SF,291.0,18.0,,,,240.0,984.0,7.0,70.0,606.0,4.0,6.0,160.1,130.9,1.08,147.372,3,3,1,christian mccaffrey,5.8,4.8,4.9,7.68,7.0,5.9,7.75,7.0,4,6.782500000000001,6.79,5.8,7.75,1.95,SF,SF,False,3.7825000000000006,4.0,2.8,2.9000000000000004,4.75,CBS,4.75,FAIR VALUE
3,3,1,Puka Nacua,WR,LA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba",128.46389788773527,138.7410097187541,,,0.0,0.0,0.0,0.0,166.0,129.0,1715.0,10.0,27.8964125155994,9493.0,Puka Nacua,LAR,312.5,18.0,,,,10.0,55.0,,107.0,1400.0,10.0,6.0,177.3,135.2,1.0,141.2,1,4,1,puka nacua,4.3,6.9,8.9,5.28,4.0,4.9,5.23,4.0,4,4.9275,5.065,4.3,5.28,0.9800000000000004,LA,LAR,False,0.9275000000000002,0.0,0.2999999999999998,0.9000000000000004,1.2300000000000004,CBS,1.2300000000000004,FAIR VALUE
4,4,1,Ja'Marr Chase,WR,CIN,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",123.79021736697092,133.6934347563286,,,0.0,0.0,0.0,0.0,185.0,125.0,1412.0,8.0,34.08570221946999,7564.0,Ja'Marr Chase,CIN,311.1,18.0,,,,3.0,16.0,,109.0,1345.0,11.0,6.0,177.3,133.8,1.0,139.8,2,5,1,ja marr chase,3.7,3.5,6.6,4.28,3.0,3.5,4.08,3.0,4,3.89,3.89,3.5,4.28,0.7800000000000002,CIN,CIN,False,-1.1099999999999999,-2.0,-1.2999999999999998,-1.5,-0.9199999999999999,CBS,-0.9199999999999999,FAIR VALUE
10,1,1,Jonathan Taylor,RB,IND,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yw46ky6akdm7h7siofu8",101.64285714285714,109.77428571428572,,,0.0,0.0,1585.0,18.0,0.0,0.0,0.0,0.0,0.0,6813.0,Jonathan Taylor,IND,272.3,18.0,,,,287.0,1385.0,11.0,36.0,278.0,1.0,6.0,160.1,112.20000000000002,1.08,127.17600000000004,4,6,1,jonathan taylor,7.2,5.4,3.8,6.23,5.0,6.3,5.32,5.0,4,6.2625,6.265000000000001,5.32,7.2,1.88,IND,IND,False,0.2625000000000002,-1.0,1.2000000000000002,0.2999999999999998,-0.6799999999999997,Sleeper,1.2000000000000002,FAIR VALUE
31,3,1,James Cook,RB,BUF,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",84.15714285714286,90.88971428571428,,,0.0,0.0,1621.0,12.0,0.0,0.0,0.0,0.0,0.0,8138.0,James Cook,BUF,260.8,18.0,,,,264.0,1270.0,11.0,31.0,268.0,2.0,6.0,160.1,100.70000000000002,1.08,114.75600000000004,5,7,1,james cook,8.9,9.0,5.1,10.23,9.0,9.4,9.21,9.0,4,9.435,9.305,8.9,10.23,1.33,BUF,BUF,False,2.4350000000000005,2.0,1.9000000000000004,2.4000000000000004,2.210000000000001,Yahoo,2.4000000000000004,FAIR VALUE
1,1,1,Jaxon Smith-Njigba,WR,SEA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yx1xjrupbqdknnjaq4a6",133.04680623889763,143.69055073800945,,,0.0,0.0,0.0,0.0,163.0,119.0,1793.0,10.0,48.56095427141123,9488.0,Jaxon Smith-Njigba,SEA,284.6,18.0,,,,6.0,33.0,,99.0,1343.0,8.0,6.0,177.3,107.3,1.0,113.3,3,8,1,jaxon smith njigba,6.5,8.4,9.2,6.25,6.0,7.2,6.46,6.0,4,6.6025,6.48,6.25,7.2,0.9500000000000002,SEA,SEA,False,-1.3975,-2.0,-1.5,-0.7999999999999998,-1.54,Yahoo,-0.7999999999999998,FAIR VALUE
74,8,1,De'Von Achane,RB,MIA,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk1xwio0bryfxo1ylweu",68.28571428571428,73.74857142857142,,,0.0,0.0,1350.0,8.0,0.0,0.0,0.0,0.0,0.0,9226.0,De'Von Achane,MIA,257.4,18.0,,,,239.0,1168.0,6.0,55.0,416.0,2.0,6.0,160.1,97.29999999999998,1.08,111.084,6,9,2,de von achane,13.1,13.9,8.0,12.28,12.0,15.3,12.21,11.0,4,13.2225,12.69,12.21,15.3,3.09,MIA,MIA,False,4.2225,3.0,4.1,6.300000000000001,3.210000000000001,Yahoo,6.300000000000001,FAIR VALUE
2,2,1,Amon-Ra St. Brown,WR,DET,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",130.23531839738672,140.65414386917766,,,0.0,0.0,0.0,0.0,172.0,117.0,1401.0,11.0,38.40736121770274,7547.0,Amon-Ra St. Brown,DET,280.5,18.0,,,,3.0,16.0,,106.0,1249.0,8.0,6.0,177.3,103.2,1.0,109.2,4,10,1,amon ra st brown,8.7,7.0,16.8,8.36,8.0,7.9,8.4,8.0,4,8.34,8.379999999999999,7.9,8.7,0.7999999999999989,DET,DET,False,-1.6600000000000001,-2.0,-1.3000000000000007,-2.0999999999999996,-1.5999999999999996,Sleeper,-1.3000000000000007,FAIR VALUE
