cbs_raw_player,cbs_rank,cbs_adp,cbs_hi_lo,cbs_pct_drafted
J. Gibbs  RB  DET  Jahmyr Gibbs  RB  DET,1.0,1.12,1/2,100.0
B. Robinson  RB  ATL  Bijan Robinson  RB  ATL,2.0,2.06,1/4,100.0
J. Chase  WR  CIN  Knee: Questionable for Week 1 vs. Tampa Bay  Ja'Marr Chase  WR  CIN  Knee: Questionable for Week 1 vs. Tampa Bay,3.0,4.08,3/9,100.0
P. Nacua  WR  LAR  Groin: Questionable for Week 1 vs. San Francisco  Puka Nacua  WR  LAR  Groin: Questionable for Week 1 vs. San Francisco,4.0,5.23,3/11,100.0
J. Taylor  RB  IND  Jonathan Taylor  RB  IND,5.0,5.32,3/9,100.0
J. Smith-Njigba  WR  SEA  Jaxon Smith-Njigba  WR  SEA,6.0,6.46,4/12,100.0
C. McCaffrey  RB  SF  Undisclosed: Questionable for Week 1 at L.A. Rams  Christian McCaffrey  RB  SF  Undisclosed: Questionable for Week 1 at L.A. Rams,7.0,7.75,4/13,100.0
A. St. Brown  WR  DET  Amon-Ra St. Brown  WR  DET,8.0,8.4,5/15,100.0
J. Cook  RB  BUF  James Cook  RB  BUF,9.0,9.21,5/15,100.0
C. Brown  RB  CIN  Chase Brown  RB  CIN,10.0,12.11,7/18,100.0
D. Achane  RB  MIA  De'Von Achane  RB  MIA,11.0,12.21,6/19,100.0
D. Henry  RB  BAL  Derrick Henry  RB  BAL,12.0,13.82,6/22,100.0
C. Lamb  WR  DAL  CeeDee Lamb  WR  DAL,13.0,13.89,9/22,100.0
S. Barkley  RB  PHI  Saquon Barkley  RB  PHI,14.0,13.91,8/20,100.0
J. Jefferson  WR  MIN  Justin Jefferson  WR  MIN,15.0,16.02,10/25,100.0
K. Walker III  RB  KC  Kenneth Walker III  RB  KC,16.0,17.22,11/27,100.0
O. Hampton  RB  LAC  Omarion Hampton  RB  LAC,17.0,18.44,12/30,100.0
J. Allen  QB  BUF  Josh Allen  QB  BUF,18.0,20.55,3/35,96.6
A. Brown  WR  NE  A.J. Brown  WR  NE,19.0,21.17,13/31,100.0
D. London  WR  ATL  Drake London  WR  ATL,20.0,21.33,13/32,100.0
A. Jeanty  RB  LV  Ankle: Questionable for Week 1 vs. Miami  Ashton Jeanty  RB  LV  Ankle: Questionable for Week 1 vs. Miami,21.0,21.98,11/36,100.0
G. Pickens  WR  DAL  George Pickens  WR  DAL,22.0,22.11,13/33,100.0
R. Rice  WR  KC  Rashee Rice  WR  KC,23.0,23.99,13/37,100.0
K. Williams  RB  LAR  Kyren Williams  RB  LAR,24.0,25.55,16/38,100.0
N. Collins  WR  HOU  Nico Collins  WR  HOU,25.0,25.62,18/36,100.0
B. Bowers  TE  LV  Raiders' Brock Bowers: Working with Cousins to open season  Brock Bowers  TE  LV  Raiders' Brock Bowers: Working with Cousins to open season,26.0,26.35,16/41,100.0
T. McBride  TE  ARI  Trey McBride  TE  ARI,27.0,27.62,16/41,100.0
C. Olave  WR  NO  Chris Olave  WR  NO,28.0,28.08,19/40,100.0
M. Nabers  WR  NYG  Knee - ACL: Questionable for Week 1 vs. Dallas  Malik Nabers  WR  NYG  Knee - ACL: Questionable for Week 1 vs. Dallas,29.0,31.26,22/45,100.0
J. Williams  RB  DAL  Javonte Williams  RB  DAL,30.0,32.4,20/47,100.0
J. Love  RB  ARI  Ankle: Questionable for Week 1 at L.A. Chargers  Jeremiyah Love  RB  ARI  Ankle: Questionable for Week 1 at L.A. Chargers,31.0,34.46,20/51,100.0
D. Smith  WR  PHI  DeVonta Smith  WR  PHI,32.0,34.47,25/49,100.0
T. Etienne  RB  NO  Travis Etienne  RB  NO,33.0,36.04,23/51,100.0
Z. Flowers  WR  BAL  Lower Body: Questionable for Week 1 at Indianapolis  Zay Flowers  WR  BAL  Lower Body: Questionable for Week 1 at Indianapolis,34.0,37.23,27/52,100.0
D. Swift  RB  CHI  D'Andre Swift  RB  CHI,35.0,37.86,22/53,100.0
C. Skattebo  RB  NYG  Cam Skattebo  RB  NYG,36.0,38.34,21/56,100.0
T. Higgins  WR  CIN  Heel: Questionable for Week 1 vs. Tampa Bay  Tee Higgins  WR  CIN  Heel: Questionable for Week 1 vs. Tampa Bay,37.0,38.68,28/53,100.0
