player,name_key,position,espn_player_id,espn_adp,espn_ppr_room_rank,espn_auction
Jahmyr Gibbs,jahmyr gibbs,RB,4429795,1.33,1.0,57.0
Bijan Robinson,bijan robinson,RB,4430807,2.38,2.0,56.0
Ja'Marr Chase,ja marr chase,WR,4362628,4.28,3.0,56.0
Puka Nacua,puka nacua,WR,4426515,5.28,4.0,55.0
Jonathan Taylor,jonathan taylor,RB,4242335,6.23,5.0,54.0
Jaxon Smith-Njigba,jaxon smith njigba,WR,4430878,6.25,6.0,53.0
Christian McCaffrey,christian mccaffrey,RB,3117251,7.68,7.0,52.0
Amon-Ra St. Brown,amon ra st brown,WR,4374302,8.36,8.0,52.0
James Cook III,james cook,RB,4379399,10.23,9.0,51.0
CeeDee Lamb,ceedee lamb,WR,4241389,11.8,10.0,50.0
Justin Jefferson,justin jefferson,WR,4262921,12.66,11.0,48.0
De'Von Achane,de von achane,RB,4429160,12.28,12.0,46.0
Omarion Hampton,omarion hampton,RB,4685382,18.58,13.0,45.0
Chase Brown,chase brown,RB,4362238,17.2,14.0,43.0
Saquon Barkley,saquon barkley,RB,3929630,14.03,15.0,42.0
Derrick Henry,derrick henry,RB,3043078,16.64,16.0,40.0
Ashton Jeanty,ashton jeanty,RB,4890973,21.72,17.0,38.0
Drake London,drake london,WR,4426502,20.17,18.0,37.0
Jeremiyah Love,jeremiyah love,RB,4870808,25.97,19.0,36.0
A.J. Brown,a j brown,WR,4047646,21.19,20.0,35.0
Trey McBride,trey mcbride,TE,4361307,22.78,21.0,34.0
Brock Bowers,brock bowers,TE,4432665,23.97,22.0,33.0
Nico Collins,nico collins,WR,4258173,25.75,23.0,32.0
Chris Olave,chris olave,WR,4361370,29.45,24.0,32.0
Rashee Rice,rashee rice,WR,4428331,29.07,25.0,31.0
Josh Allen,josh allen,QB,3918298,19.31,26.0,30.0
George Pickens,george pickens,WR,4426354,28.36,27.0,30.0
Kenneth Walker III,kenneth walker,RB,4567048,24.9,28.0,29.0
Garrett Wilson,garrett wilson,WR,4569618,37.11,29.0,28.0
Breece Hall,breece hall,RB,4427366,35.89,30.0,27.0
Javonte Williams,javonte williams,RB,4361579,32.91,31.0,26.0
Kyren Williams,kyren williams,RB,4430737,35.46,32.0,25.0
Malik Nabers,malik nabers,WR,4595348,34.84,33.0,24.0
DeVonta Smith,devonta smith,WR,4241478,36.81,34.0,23.0
Travis Etienne Jr.,travis etienne,RB,4239996,41.07,35.0,22.0
Tetairoa McMillan,tetairoa mcmillan,WR,4685472,42.09,36.0,22.0
Zay Flowers,zay flowers,WR,4429615,44.18,38.0,22.0
Emeka Egbuka,emeka egbuka,WR,4567750,44.96,39.0,21.0
Quinshon Judkins,quinshon judkins,RB,4685702,48.99,40.0,21.0
Ladd McConkey,ladd mcconkey,WR,4612826,46.03,41.0,20.0
Tee Higgins,tee higgins,WR,4239993,51.14,42.0,19.0
Colston Loveland,colston loveland,TE,4723086,42.54,43.0,19.0
Lamar Jackson,lamar jackson,QB,3916387,34.95,44.0,18.0
Davante Adams,davante adams,WR,16800,46.17,45.0,17.0
Cam Skattebo,cam skattebo,RB,4696981,45.06,46.0,17.0
D'Andre Swift,d andre swift,RB,4259545,52.19,47.0,15.0
Bhayshul Tuten,bhayshul tuten,RB,4882093,61.69,48.0,15.0
Jaylen Waddle,jaylen waddle,WR,4372016,52.2,49.0,14.0
Bucky Irving,bucky irving,RB,4596448,56.89,50.0,13.0
Terry McLaurin,terry mclaurin,WR,3121422,60.95,51.0,13.0
DJ Moore,dj moore,WR,3915416,60.8,52.0,12.0
Tyler Warren,tyler warren,TE,4431459,52.09,53.0,11.0
Jameson Williams,jameson williams,WR,4426388,64.33,54.0,11.0
Rome Odunze,rome odunze,WR,4431299,64.8,55.0,10.0
Jayden Daniels,jayden daniels,QB,4426348,53.03,56.0,10.0
Drake Maye,drake maye,QB,4431452,47.3,58.0,10.0
David Montgomery,david montgomery,RB,4035538,61.92,60.0,10.0
Jadarian Price,jadarian price,RB,4685512,67.53,62.0,9.0
Luther Burden III,luther burden,WR,4685278,75.16,64.0,9.0
TreVeyon Henderson,treveyon henderson,RB,4432710,77.87,66.0,9.0
Carnell Tate,carnell tate,WR,4871023,77.39,67.0,8.0
Mike Evans,mike evans,WR,16737,84.49,68.0,8.0
Marvin Harrison Jr.,marvin harrison,WR,4432708,78.97,69.0,8.0
Joe Burrow,joe burrow,QB,3915511,53.89,70.0,7.0
Rhamondre Stevenson,rhamondre stevenson,RB,4569173,78.78,72.0,7.0
Jalen Hurts,jalen hurts,QB,4040715,54.61,73.0,7.0
Michael Pittman Jr.,michael pittman,WR,4035687,89.63,74.0,7.0
Tony Pollard,tony pollard,RB,3916148,88.63,75.0,6.0
Harold Fannin Jr.,harold fannin,TE,5083076,70.78,76.0,6.0
Kyle Pitts Sr.,kyle pitts,TE,4360248,68.52,77.0,6.0
DK Metcalf,dk metcalf,WR,4047650,85.22,78.0,6.0
George Kittle,george kittle,TE,3040151,74.37,79.0,6.0
Courtland Sutton,courtland sutton,WR,3128429,81.19,80.0,6.0
Christian Watson,christian watson,WR,4248528,89.11,81.0,5.0
Dak Prescott,dak prescott,QB,2577417,72.47,85.0,5.0
Parker Washington,parker washington,WR,4432620,89.8,87.0,5.0
Jaylen Warren,jaylen warren,RB,4569987,87.4,88.0,5.0
Sam LaPorta,sam laporta,TE,4430027,73.81,89.0,4.0
Kenny Gainwell,kenny gainwell,RB,4371733,101.06,90.0,4.0
Jaxson Dart,jaxson dart,QB,4689114,83.2,91.0,4.0
Josh Jacobs,josh jacobs,RB,4047365,70.07,92.0,4.0
Wan'Dale Robinson,wan dale robinson,WR,4569587,113.38,93.0,4.0
Jonathon Brooks,jonathon brooks,RB,4678008,104.82,95.0,4.0
Justin Herbert,justin herbert,QB,4038941,86.77,97.0,4.0
Michael Wilson,michael wilson,WR,4360761,102.6,100.0,4.0
MarShawn Lloyd,marshawn lloyd,RB,4429023,122.86,102.0,4.0
Caleb Williams,caleb williams,QB,4431611,89.92,104.0,3.0
Rico Dowdle,rico dowdle,RB,4038815,95.27,106.0,3.0
Stefon Diggs,stefon diggs,WR,2976212,102.81,107.0,3.0
Alec Pierce,alec pierce,WR,4360078,108.52,108.0,3.0
Travis Hunter,travis hunter,WR,4685415,118.88,109.0,3.0
Tucker Kraft,tucker kraft,TE,4572680,91.26,110.0,3.0
Chuba Hubbard,chuba hubbard,RB,4241416,108.39,111.0,3.0
Jakobi Meyers,jakobi meyers,WR,3916433,122.35,112.0,3.0
Trevor Lawrence,trevor lawrence,QB,4360310,100.36,114.0,3.0
Aaron Jones Sr.,aaron jones,RB,3042519,114.41,117.0,3.0
Brian Thomas Jr.,brian thomas,WR,4432773,113.49,118.0,2.0
Brock Purdy,brock purdy,QB,4361741,110.18,120.0,2.0
Rachaad White,rachaad white,RB,4697815,125.63,121.0,2.0
J.K. Dobbins,j k dobbins,RB,4241985,111.93,122.0,2.0
Kyle Monangai,kyle monangai,RB,4608686,123.8,124.0,2.0
Travis Kelce,travis kelce,TE,15847,94.91,125.0,2.0
Matthew Golden,matthew golden,WR,4701936,112.05,126.0,2.0
Chris Godwin Jr.,chris godwin,WR,3116165,122.51,127.0,2.0
Jordan Addison,jordan addison,WR,4429205,120.53,130.0,2.0
Josh Downs,josh downs,WR,4688813,136.59,131.0,2.0
Dallas Goedert,dallas goedert,TE,3121023,103.61,132.0,2.0
RJ Harvey,rj harvey,RB,4568490,126.03,133.0,2.0
Patrick Mahomes,patrick mahomes,QB,3139477,108.66,134.0,2.0
Khalil Shakir,khalil shakir,WR,4373678,139.9,135.0,2.0
Blake Corum,blake corum,RB,4429096,126.01,138.0,2.0
Bo Nix,bo nix,QB,4426338,102.45,139.0,2.0
Matthew Stafford,matthew stafford,QB,12483,92.7,140.0,2.0
Jake Ferguson,jake ferguson,TE,4242355,110.49,141.0,2.0
Makai Lemon,makai lemon,WR,4870795,132.35,144.0,2.0
Isaiah Likely,isaiah likely,TE,4361050,122.6,145.0,2.0
Quentin Johnston,quentin johnston,WR,4429025,130.42,146.0,2.0
Jacory Croskey-Merritt,jacory croskey merritt,RB,4575131,135.86,147.0,2.0
Jayden Reed,jayden reed,WR,4362249,138.85,148.0,2.0
Mark Andrews,mark andrews,TE,3116365,126.38,150.0,2.0
De'Zhaun Stribling,de zhaun stribling,WR,4710714,139.28,151.0,1.0
Kyler Murray,kyler murray,QB,3917315,137.73,152.0,1.0
Xavier Worthy,xavier worthy,WR,4683062,130.35,153.0,1.0
Romeo Doubs,romeo doubs,WR,4361432,147.58,154.0,1.0
Jalen Coker,jalen coker,WR,4695883,154.63,156.0,1.0
Dalton Kincaid,dalton kincaid,TE,4385690,130.84,157.0,1.0
Tyjae Spears,tyjae spears,RB,4428557,146.69,158.0,1.0
Tyler Shough,tyler shough,QB,4360689,152.49,160.0,1.0
Jordan Mason,jordan mason,RB,4360569,138.98,161.0,1.0
Deebo Samuel Sr.,deebo samuel,WR,3126486,142.8,163.0,1.0
Jared Goff,jared goff,QB,3046779,136.45,164.0,1.0
Woody Marks,woody marks,RB,4429059,151.72,165.0,1.0
KC Concepcion,kc concepcion,WR,4870653,146.67,171.0,1.0
Jalen McMillan,jalen mcmillan,WR,4430834,164.07,173.0,1.0
Tank Dell,tank dell,WR,4366031,164.16,175.0,1.0
Zach Charbonnet,zach charbonnet,RB,4426385,153.07,177.0,1.0
Jonah Coleman,jonah coleman,RB,4702555,166.75,181.0,0.0
Baker Mayfield,baker mayfield,QB,3052587,146.26,182.0,0.0
