player,name_key,team,position,sleeper_id,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp
Cameron Latu,cameron latu,NE,TE,10210,673.1,666.7,
Camerun Peoples,camerun peoples,,RB,10211,,647.4,
Josh Whyle,josh whyle,GB,TE,10212,695.5,685.2,
Tre Tucker,tre tucker,LV,WR,10213,202.0,181.5,187.5
Davis Allen,davis allen,LAR,TE,10214,660.7,676.6,
Jake Haener,jake haener,NYG,QB,10215,654.7,659.3,
Kenny McIntosh,kenny mcintosh,,RB,10216,684.4,667.8,
Clayton Tune,clayton tune,,QB,10217,,643.8,
Xavier Hutchinson,xavier hutchinson,HOU,WR,10218,,679.1,
Chris Rodriguez,chris rodriguez,JAX,RB,10219,139.9,125.8,142.5
Will Mallory,will mallory,IND,TE,10220,698.5,681.4,
Ronnie Bell,ronnie bell,,WR,10221,686.6,683.3,
Jayden Reed,jayden reed,GB,WR,10222,109.9,101.3,118.6
Eric Gray,eric gray,,RB,10223,,658.0,
Brayden Willis,brayden willis,SF,TE,10224,682.8,695.5,
Jonathan Mingo,jonathan mingo,DAL,WR,10225,699.9,693.3,
Andrei Iosivas,andrei iosivas,CIN,WR,10226,,700.9,
Payne Durham,payne durham,TB,TE,10227,564.0,620.5,
Charlie Jones,charlie jones,NYG,WR,10228,,659.8,
Rashee Rice,rashee rice,KC,WR,10229,29.0,29.2,34.2
Jalen Wayne,jalen wayne,,WR,10230,687.5,503.0,
Elijah Higgins,elijah higgins,ARI,TE,10231,,668.1,
Michael Wilson,michael wilson,ARI,WR,10232,85.3,89.4,75.2
Max Duggan,max duggan,,QB,10233,,647.7,
Derius Davis,derius davis,LAC,WR,10234,,615.3,
Roschon Johnson,roschon johnson,CHI,RB,10235,,670.7,
Dalton Kincaid,dalton kincaid,BUF,TE,10236,87.6,91.5,81.1
Nick Foles,nick foles,,QB,1029,,686.5,
Brandon Bolden,brandon bolden,,RB,1034,634.3,666.7,
Cedric Tillman,cedric tillman,NO,WR,10444,667.4,697.6,
