player,name_key,team,position,yahoo_player_id,yahoo_adp,yahoo_auction,yahoo_pct_drafted
Jahmyr Gibbs,jahmyr gibbs,DET,RB,40059,1.3,73.5,1.0
Bijan Robinson,bijan robinson,ATL,RB,40055,2.0,71.5,1.0
Ja'Marr Chase,ja marr chase,CIN,WR,33393,3.5,64.4,1.0
Puka Nacua,puka nacua,LAR,WR,40168,4.9,61.2,1.0
Jonathan Taylor,jonathan taylor,IND,RB,32711,6.3,59.3,1.0
Christian McCaffrey,christian mccaffrey,SF,RB,30121,5.9,59.7,1.0
Amon-Ra St. Brown,amon ra st brown,DET,WR,33500,7.9,56.6,1.0
Jaxon Smith-Njigba,jaxon smith njigba,SEA,WR,40041,7.2,58.5,1.0
James Cook III,james cook,BUF,RB,34019,9.4,54.2,1.0
Saquon Barkley,saquon barkley,PHI,RB,30972,11.4,49.0,1.0
CeeDee Lamb,ceedee lamb,DAL,WR,32687,11.0,50.5,1.0
Kenneth Walker III,kenneth walker,KC,RB,33996,15.5,43.9,1.0
Justin Jefferson,justin jefferson,MIN,WR,32692,13.2,47.0,1.0
Chase Brown,chase brown,CIN,RB,40196,15.8,46.2,1.0
De'Von Achane,de von achane,MIA,RB,40118,15.3,43.8,1.0
Omarion Hampton,omarion hampton,LAC,RB,41807,18.3,43.9,1.0
Derrick Henry,derrick henry,BAL,RB,29279,17.2,40.5,1.0
Nico Collins,nico collins,HOU,WR,33477,21.7,35.1,1.0
Brock Bowers,brock bowers,LV,TE,40878,21.0,35.7,1.0
Drake London,drake london,ATL,WR,33963,20.0,37.5,1.0
Ashton Jeanty,ashton jeanty,LV,RB,41791,17.4,43.3,1.0
George Pickens,george pickens,DAL,WR,34007,22.5,31.8,1.0
A.J. Brown,a j brown,NE,WR,31883,24.1,31.8,1.0
Malik Nabers,malik nabers,NYG,WR,40899,30.6,27.2,1.0
Chris Olave,chris olave,NO,WR,33966,31.5,24.7,1.0
DeVonta Smith,devonta smith,PHI,WR,33398,29.5,25.2,1.0
Kyren Williams,kyren williams,LAR,RB,34120,28.1,27.1,1.0
Jeremiyah Love,jeremiyah love,ARI,RB,42625,29.7,27.8,1.0
Tee Higgins,tee higgins,CIN,WR,32703,33.5,21.0,1.0
Breece Hall,breece hall,NYJ,RB,33991,34.7,22.3,1.0
Trey McBride,trey mcbride,ARI,TE,34010,26.9,28.7,1.0
Josh Allen,josh allen,BUF,QB,30977,20.4,29.8,1.0
Zay Flowers,zay flowers,BAL,WR,40039,35.7,19.0,1.0
Javonte Williams,javonte williams,DAL,RB,33423,33.9,23.8,1.0
Jaylen Waddle,jaylen waddle,DEN,WR,33394,40.2,16.5,1.0
Rashee Rice,rashee rice,KC,WR,40084,35.5,22.1,1.0
Colston Loveland,colston loveland,CHI,TE,41795,39.3,18.2,1.0
Garrett Wilson,garrett wilson,NYJ,WR,33965,48.2,14.0,1.0
Tetairoa McMillan,tetairoa mcmillan,CAR,WR,41793,41.9,16.4,1.0
Ladd McConkey,ladd mcconkey,LAC,WR,40908,44.7,15.0,1.0
Travis Etienne Jr.,travis etienne,NO,RB,33413,42.2,17.9,1.0
D'Andre Swift,d andre swift,CHI,RB,32705,45.8,14.7,1.0
Emeka Egbuka,emeka egbuka,TB,WR,41804,45.4,14.1,1.0
Luther Burden III,luther burden,CHI,WR,41824,58.1,10.5,1.0
Terry McLaurin,terry mclaurin,WAS,WR,31908,54.1,10.2,1.0
Cam Skattebo,cam skattebo,NYG,RB,41922,42.4,16.7,1.0
DJ Moore,dj moore,BUF,WR,30994,59.5,9.1,1.0
Tyler Warren,tyler warren,IND,TE,41799,47.1,13.0,1.0
Rome Odunze,rome odunze,CHI,WR,40901,66.4,6.4,1.0
Lamar Jackson,lamar jackson,BAL,QB,31002,38.5,15.1,1.0
Bucky Irving,bucky irving,TB,RB,40993,54.4,11.2,1.0
Jameson Williams,jameson williams,DET,WR,33967,65.7,6.6,1.0
Christian Watson,christian watson,GB,WR,33989,67.8,6.1,1.0
Bhayshul Tuten,bhayshul tuten,JAX,RB,41900,61.4,9.7,1.0
Parker Washington,parker washington,JAX,WR,40234,77.8,4.4,1.0
Davante Adams,davante adams,LAR,WR,27581,56.4,9.7,1.0
David Montgomery,david montgomery,HOU,RB,31905,53.1,12.2,1.0
Quinshon Judkins,quinshon judkins,CLE,RB,41821,54.4,11.4,1.0
Jadarian Price,jadarian price,SEA,RB,42654,64.1,9.8,1.0
Mike Evans,mike evans,SF,WR,27535,69.2,5.9,1.0
Drake Maye,drake maye,NE,QB,40881,47.6,9.4,1.0
Rhamondre Stevenson,rhamondre stevenson,NE,RB,33508,77.7,4.1,1.0
Joe Burrow,joe burrow,CIN,QB,32671,50.1,8.5,1.0
TreVeyon Henderson,treveyon henderson,NE,RB,41823,66.4,7.4,1.0
Jayden Daniels,jayden daniels,WAS,QB,40896,55.0,6.5,1.0
Jalen Hurts,jalen hurts,PHI,QB,32723,56.8,6.1,1.0
