projection_id,league,player,team,position,description,stat,stat_type,line,start_time,end_time,status,projection_type,allowed_wager_types,odds_type,adjusted_odds,group_key,rank,trending_count,is_promo,discount_name,discount_percentage,flash_sale_line,game_id,home_team,away_team,updated_at,collected_at
14455460,MLB,Blade Tidwell,SF,P,PIT,Pitches Thrown,Pitches Thrown,100.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,over,demon,True,331070-233-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,2,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:39.554-04:00,2026-09-03T16:36:36.611139+00:00
14455459,MLB,Blade Tidwell,SF,P,PIT,Pitches Thrown,Pitches Thrown,91.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,over,standard,,331070-233-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,3,927.0,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:39.554-04:00,2026-09-03T16:36:36.611156+00:00
14455461,MLB,Blade Tidwell,SF,P,PIT,Pitches Thrown,Pitches Thrown,86.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,over,goblin,True,331070-233-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,4,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:39.554-04:00,2026-09-03T16:36:36.611170+00:00
14455444,MLB,Blade Tidwell,SF,P,PIT,Strikes Thrown,Strikes Thrown,58.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,over,standard,,331070-1463-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,5,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:39.554-04:00,2026-09-03T16:36:36.611184+00:00
14455450,MLB,Blade Tidwell,SF,P,PIT,Balls Thrown,Balls Thrown,32.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,over,goblin,True,331070-1465-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,6,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:39.554-04:00,2026-09-03T16:36:36.611197+00:00
14455446,MLB,Blade Tidwell,SF,P,PIT,Pitcher FS,Pitcher Fantasy Score,27.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,demon,True,331070-173-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,7,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:53.013-04:00,2026-09-03T16:36:36.611210+00:00
14455449,MLB,Blade Tidwell,SF,P,PIT,Batters Faced,Batters Faced,21.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,goblin,True,331070-1451-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,8,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:39.554-04:00,2026-09-03T16:36:36.611222+00:00
14455445,MLB,Blade Tidwell,SF,P,PIT,Pitcher FS,Pitcher Fantasy Score,20.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,standard,,331070-173-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,10,662.0,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:08:53.013-04:00,2026-09-03T16:36:36.611249+00:00
14455485,MLB,Rafael Devers,SF,IF,PIT,Pitches Seen,Pitches Seen,18.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,standard,,242457-1382-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,12,125.0,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:30:49.893-04:00,2026-09-03T16:36:36.611275+00:00
14455500,MLB,Bryce Eldridge,SF,DH,PIT,Pitches Seen,Pitches Seen,18.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,standard,,263541-1382-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,13,117.0,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:30:49.893-04:00,2026-09-03T16:36:36.611288+00:00
14455517,MLB,Bryan Reynolds,PIT,OF,SF,Pitches Seen,Pitches Seen,18.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,standard,,67525-1382-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,14,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:30:49.893-04:00,2026-09-03T16:36:36.611299+00:00
14455535,MLB,Brandon Lowe,PIT,IF,SF,Pitches Seen,Pitches Seen,18.5,2026-09-03T12:35:00.000-04:00,,pre_game,Single Stat,,standard,,308573-1382-MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv-11-false,15,,False,,,,MLB_game_JZR8lT1dd0zQGpfhHi1yd8xv,,,2026-09-03T09:30:49.893-04:00,2026-09-03T16:36:36.611311+00:00
