sport,player_key,player,canonical_market,event_id,event_time,team,opponent,market_median,market_low,market_high,book_count,book_agreement_pct,line_dispersion,over_price_median,under_price_median,pp_line,pp_gap,l3,l5,l10,l20,season,streak,recent_avg,season_avg,h2h,hulk_prop_score,market_direction,price_pressure_score,coverage_grade,signal
MLB,adley rutschman,Adley Rutschman,doubles,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,2,100.0,0.0,425.0,-650.0,,,,,,,,,,,,50.3,UNDER,64.0,LOW,PASS
MLB,adley rutschman,Adley Rutschman,hits,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,-190.0,144.0,,,,,,,,,,,,46.5,OVER,23.0,GOOD,WATCH
MLB,adley rutschman,Adley Rutschman,hits_runs_rbis,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,5,100.0,0.0,-110.0,-121.0,1.5,0.0,,,,,,,,,,41.3,UNDER,2.2,GOOD,WATCH
MLB,adley rutschman,Adley Rutschman,home_runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,575.0,-925.0,,,,,,,,,,,,58.7,UNDER,71.8,GOOD,WATCH
MLB,adley rutschman,Adley Rutschman,pitcher_strikeouts,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-130.0,,,,,,,,,,,,,44.6,NEUTRAL,50.0,LOW,PASS
MLB,adley rutschman,Adley Rutschman,rbis,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,174.0,-240.0,,,,,,,,,,,,48.7,UNDER,31.8,GOOD,WATCH
MLB,adley rutschman,Adley Rutschman,runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,128.0,-175.0,,,,,,,,,,,,45.3,UNDER,18.4,GOOD,WATCH
MLB,adley rutschman,Adley Rutschman,singles,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,-105.0,-142.5,,,,,,,,,,,,42.4,UNDER,6.9,GOOD,WATCH
MLB,adley rutschman,Adley Rutschman,total_bases,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,1.5,3,66.7,0.471,-190.0,139.0,,,,,,,,,,,,35.3,OVER,22.1,USABLE,WATCH
MLB,adley rutschman,Adley Rutschman,triples,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,2,100.0,0.0,4950.0,,,,,,,,,,,,,46.8,NEUTRAL,50.0,LOW,PASS
MLB,adley rutschman,Adley Rutschman,walks,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,1,100.0,0.0,140.0,-230.0,,,,,,,,,,,,38.4,UNDER,25.2,LOW,PASS
MLB,adley rutschman runs,Adley Rutschman - Runs,runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,1,100.0,0.0,138.0,-190.0,,,,,,,,,,,,37.6,UNDER,21.9,LOW,PASS
MLB,alec burleson,Alec Burleson,home_runs,178e47f48ce23704395138f8f050b334,2026-09-04T02:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,600.0,-1268.0,,,,,,,,,,,,50.5,UNDER,73.3,LOW,PASS
MLB,alejandro kirk,Alejandro Kirk,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,180.0,-245.0,,,,,,,,,,,,40.4,UNDER,33.1,LOW,PASS
MLB,alejandro kirk,Alejandro Kirk,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,155.0,-225.0,,,,,,,,,,,,39.1,UNDER,27.7,LOW,PASS
MLB,alejandro kirk,Alejandro Kirk,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,115.0,-150.0,,,,,,,,,,,,35.3,UNDER,12.7,LOW,PASS
MLB,alejandro kirk,Alejandro Kirk,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,115.0,-150.0,,,,,,,,,,,,35.3,UNDER,12.7,LOW,PASS
MLB,alex bregman,Alex Bregman,doubles,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,448.0,-730.0,,,,,,,,,,,,57.1,UNDER,65.6,GOOD,WATCH
MLB,alex bregman,Alex Bregman,hits,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,-178.0,150.0,,,,,,,,,,,,46.5,OVER,23.1,GOOD,WATCH
MLB,alex bregman,Alex Bregman,hits_runs_rbis,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,5,100.0,0.0,102.0,-136.0,,,,,,,,,,,,42.6,UNDER,7.6,GOOD,WATCH
MLB,alex bregman,Alex Bregman,home_runs,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,475.0,-825.0,,,,,,,,,,,,57.6,UNDER,67.4,GOOD,WATCH
MLB,alex bregman,Alex Bregman,pitcher_strikeouts,919bdbd90145290fd9a5266e0fed035b,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-140.0,105.0,,,,,,,,,,,,34.4,OVER,8.9,LOW,PASS
